Label1,Label2,Combination,Count,Percentage,URL_Count
feat,test,feat + test,14,9.03,14
refactor,test,refactor + test,12,7.74,12
fix,test,fix + test,12,7.74,12
feat,refactor,feat + refactor,11,7.1,11
docs,feat,docs + feat,10,6.45,10
docs,test,docs + test,9,5.81,9
fix,refactor,fix + refactor,9,5.81,9
feat,fix,feat + fix,8,5.16,8
docs,refactor,docs + refactor,7,4.52,7
docs,fix,docs + fix,7,4.52,7
feat,style,feat + style,6,3.87,6
refactor,style,refactor + style,5,3.23,5
fix,style,fix + style,4,2.58,4
build,docs,build + docs,4,2.58,4
docs,style,docs + style,3,1.94,3
feat,perf,feat + perf,3,1.94,3
docs,perf,docs + perf,3,1.94,3
build,ci,build + ci,3,1.94,3
style,test,style + test,2,1.29,2
build,test,build + test,2,1.29,2
perf,refactor,perf + refactor,2,1.29,2
build,fix,build + fix,2,1.29,2
chore,fix,chore + fix,2,1.29,2
ci,test,ci + test,2,1.29,2
build,style,build + style,1,0.65,1
perf,style,perf + style,1,0.65,1
build,feat,build + feat,1,0.65,1
build,perf,build + perf,1,0.65,1
chore,feat,chore + feat,1,0.65,1
chore,test,chore + test,1,0.65,1
ci,docs,ci + docs,1,0.65,1
build,refactor,build + refactor,1,0.65,1
ci,fix,ci + fix,1,0.65,1
perf,test,perf + test,1,0.65,1
ci,feat,ci + feat,1,0.65,1
fix,perf,fix + perf,1,0.65,1
chore,docs,chore + docs,1,0.65,1
