owner,repo_name,url,pull_number,stars,total_commits,changed_files,added_lines,deleted_lines,first_commit_sha,merge_commit_sha,base_commit_sha,pr_final_head_sha,author_login
oven-sh,bun,https://github.com/oven-sh/bun/pull/19055,19055,78329,2,7,248,6,f31989cdf1a350eaea050719aa27cbcb16d7fe51,N/A,db2e7d7f748dd3951ac0c983de73e75df51bb735,518b9c3cd667749c8b1e5ce5373d2403db27e902,Jarred-Sumner
oven-sh,bun,https://github.com/oven-sh/bun/pull/19056,19056,78329,1,3,14,4,b3cb47b085e20e10fe18705326b7bdd51e667474,N/A,518b9c3cd667749c8b1e5ce5373d2403db27e902,b3cb47b085e20e10fe18705326b7bdd51e667474,Jarred-Sumner
oven-sh,bun,https://github.com/oven-sh/bun/pull/17780,17780,78329,1,1,63,0,0d6b897863b527875077c153ad5821d702744d04,N/A,7ad46cb1182997f614ed077f5d3e60226b3dea5e,0d6b897863b527875077c153ad5821d702744d04,Electroid
modelcontextprotocol,servers,https://github.com/modelcontextprotocol/servers/pull/1023,1023,50074,2,7,589,5,8854effe0d5514dd13c87b032f120a9e2b18c387,N/A,6f7c7f069e7d44991ab205ea3fad221f746d2dd5,cbb2d934e51f3fd6d37963a04b120fdcc2918f9f,robtaylor
modelcontextprotocol,servers,https://github.com/modelcontextprotocol/servers/pull/1178,1178,50074,9,3,1334,167,aca96f11cea150dfe25fa90f104b3ea440ec44a5,N/A,90c4a322dd1e46759748e6b33d80facf0eaeadbe,c12a7e800b4b5d926c974ace14e29fd0d465b5ca,leependu
metabase,metabase,https://github.com/metabase/metabase/pull/56590,56590,42142,2,1,1,1,8597084fb071ccebaf14d1887ae60ff1cb8ee66c,N/A,0c026955f5fe5bebfb5550f0f9f08475ea0d4dbb,bc514b49aab6b007fbf17a01a3dbf6523a3bc01f,github-actions
metabase,metabase,https://github.com/metabase/metabase/pull/56589,56589,42142,2,8,142,6,2c62b6f2a2fdc3b7b9dea38d73d4aa120176964f,N/A,1f19dee6c51bf07160d64426891294f2aab92f74,741d0b90cf6dcdebed5ae2a6330fbe939d4c0da3,filipesilva
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30890,30890,32666,1,9,501,0,1fe3fdcc84b9b6d26b4fbfaedff475eaed3a25b0,N/A,077f8e5061ba095d449603175c4e2f14b126e2ac,1fe3fdcc84b9b6d26b4fbfaedff475eaed3a25b0,lieut-data
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30528,30528,32666,20,60,2454,8543,66b5d62d3e9b8f84b1b54e0d3995614d0e1d7013,N/A,7770c039199837d1e58fa5b4ee2704561368d8ff,7f7f1733c0ecf4a6f0e5597a770ed9079117fa6e,lieut-data
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30593,30593,32666,8,11,259,16,2307ab174f57999ef15b31566d5593020846026d,N/A,b1a8810bd8beb2df73094be01f0e7926517543cc,c9c1982f82d479d8c092a88075750dae22f9b6ee,lieut-data
openai,codex,https://github.com/openai/codex/pull/612,612,27484,1,1,562,555,95030e0071e6ffea6e0db811fbf45c4ed887a680,N/A,c75cb507f08502af9e28e3de399e89306f50a67f,95030e0071e6ffea6e0db811fbf45c4ed887a680,PierrunoYT
beekeeper-studio,beekeeper-studio,https://github.com/beekeeper-studio/beekeeper-studio/pull/2962,2962,19327,1,5,270,21,e3e48e91777cbe5334a6cfa5b3c5f5f1a3c1603b,N/A,5e4722b925325d11472e7db93da968476a1df688,e3e48e91777cbe5334a6cfa5b3c5f5f1a3c1603b,rathboma
beekeeper-studio,beekeeper-studio,https://github.com/beekeeper-studio/beekeeper-studio/pull/2961,2961,19327,1,5,52,2,3c25b93b1dd5b27a1df694a2780a51b6545741ee,N/A,5e4722b925325d11472e7db93da968476a1df688,3c25b93b1dd5b27a1df694a2780a51b6545741ee,rathboma
plotly,plotly.js,https://github.com/plotly/plotly.js/pull/7392,7392,17592,1,5,312,2,b8b8e243cca3001e35ecf3c676146f2d8f174b1e,N/A,b1c9ce5b4012c13548ad4814468e7e155f5792d7,b8b8e243cca3001e35ecf3c676146f2d8f174b1e,chriddyp
plotly,plotly.js,https://github.com/plotly/plotly.js/pull/7379,7379,17592,2,4,117,4,e078d1aba23423d4ddc4d79ea8a260d2d02a0160,N/A,92a6bfa9d99b92ea936ba83a079c8e30c0bfae95,b234c4591be833304c1fee21580c8a6ab5972716,chriddyp
apache,pulsar,https://github.com/apache/pulsar/pull/24145,24145,14625,1,1,47,1,d97d29427e599ab93c976144bc3c82c31b35b004,N/A,f2618c15bb5a9f3fcb577068584df5d0e2e4f335,d97d29427e599ab93c976144bc3c82c31b35b004,alexander-nailed-it
anthropics,anthropic-cookbook,https://github.com/anthropics/anthropic-cookbook/pull/147,147,12561,1,1,3,136,170dee9bcc4dd86f298fdbcc777b3748b86d9d53,N/A,4a7be656bd1a6e2149f9f1c40678dac379a857a7,170dee9bcc4dd86f298fdbcc777b3748b86d9d53,cal-anthropic
anthropics,anthropic-cookbook,https://github.com/anthropics/anthropic-cookbook/pull/145,145,12561,1,1,3,136,ce0737c42dd570dca19f1c0fa99706603439e0be,N/A,4a7be656bd1a6e2149f9f1c40678dac379a857a7,ce0737c42dd570dca19f1c0fa99706603439e0be,cal-anthropic
Wan-Video,Wan2.1,https://github.com/Wan-Video/Wan2.1/pull/108,108,11820,1,1,2,2,7b58015ee86124075f15cbd099dc50e862ad4f1f,N/A,a326079926a4a347ecda8863dc40ba2d7680a294,7b58015ee86124075f15cbd099dc50e862ad4f1f,g7adrian
anthropics,claude-code,https://github.com/anthropics/claude-code/pull/448,448,10655,1,4,130,13,bc84d5711b3f5bb8f40859e66c66c46e250ebc1e,N/A,555b6b5b8a5f06f1e8725a584e62fb6b7c8eece5,bc84d5711b3f5bb8f40859e66c66c46e250ebc1e,8enmann
anthropics,claude-code,https://github.com/anthropics/claude-code/pull/280,280,10655,35,2,2,2,25d2fe12fccf70d75c9a0ac8fe4db7831aaf33e6,N/A,e91c77304d12b08ba2f199c2a31599dfc34f885d,24dc2ec49d412cd3e4640c7f295d30cbb3893a57,8enmann
567-labs,instructor,https://github.com/567-labs/instructor/pull/1492,1492,10611,2,7,583,2,967ede6fa80d6e4dde39ebbca876e5dd9d108e6e,N/A,fd391e1e06d2746b059636332ec6061552ed6d9d,cfdab6c01c6600afb9f56fab248c17e7e4f633b0,jxnl
567-labs,instructor,https://github.com/567-labs/instructor/pull/1493,1493,10611,5,28,4180,0,8316250ca0a7e627da47a74b6fad5721e60cbc7f,N/A,4779f25a28227e6975d77904f30173a7800ff963,fd8c8ca0f5956872c927c801492572d9ad333fed,jxnl
567-labs,instructor,https://github.com/567-labs/instructor/pull/1491,1491,10611,4,28,4091,0,8316250ca0a7e627da47a74b6fad5721e60cbc7f,N/A,4779f25a28227e6975d77904f30173a7800ff963,fbc7132cca8d18b3b24e58f16134acb3bfbc6dc0,jxnl
567-labs,instructor,https://github.com/567-labs/instructor/pull/1401,1401,10611,1,2,424,0,edc1b8c4b86598600cbbc8bef2fcca6bc31d1107,N/A,909c336b0e6a7d93852996f21b0f7111806a9e6d,edc1b8c4b86598600cbbc8bef2fcca6bc31d1107,jxnl
567-labs,instructor,https://github.com/567-labs/instructor/pull/1371,1371,10611,1,5,236,11,c0b79f7c6b5e42ba07966244bcfbd9856bca5c02,N/A,3084c405bb3ac9062bf7f8a61f4dfe665ca1daab,c0b79f7c6b5e42ba07966244bcfbd9856bca5c02,jxnl
coder,coder,https://github.com/coder/coder/pull/17592,17592,9957,2,3,377,49,23d9e0e037b5077be19513ff8be116a79fc59a93,N/A,df47c300f341e4b8cf1f9a19a0d9a525a1085101,915b14f6d25870c4916f085c8d47e75f5ebcd0a3,rogmanster
coder,coder,https://github.com/coder/coder/pull/17370,17370,9957,10,16,1252,0,d0fe1f8893a3bf97519c4e8ddcdf20dcffc4cb22,N/A,39b9d23d9626532735cd5f6bf4087a0bf2188af9,aec75e462f0e09bfd62b529c2a811a35d9962053,EdwardAngert
coder,coder,https://github.com/coder/coder/pull/17522,17522,9957,24,22,3310,8,d0fe1f8893a3bf97519c4e8ddcdf20dcffc4cb22,N/A,0ef7d0b3e5b6d4ab713f7f2b73df6f77fc0114e1,bb9e3934b1b5772b61b168ac4d4f8cf4b9a4626e,EdwardAngert
coder,coder,https://github.com/coder/coder/pull/16917,16917,9957,2,1,3,1,fe6c94131aeeb77fd5aefd6193c226e2f9310cde,N/A,a1f5468db2bedcd627a44e80c31e515fc70ef3f2,09ac7ada0e9e226e30b2171b7a5f324dd917fc26,stirby
coder,coder,https://github.com/coder/coder/pull/16938,16938,9957,1,2,21,21,5daf277cc212190941a5ffcdb2cd99e0320163bb,N/A,7ba4df1bc41134d696f575dfe8a17ec061ba621e,5daf277cc212190941a5ffcdb2cd99e0320163bb,matifali
coder,coder,https://github.com/coder/coder/pull/17317,17317,9957,5,2,299,0,d0fe1f8893a3bf97519c4e8ddcdf20dcffc4cb22,N/A,98c05b356881c11d2d411bc78143b402388696a7,38cfd56eaf6e8c21604341083b50ed4ffa95c8f9,EdwardAngert
coder,coder,https://github.com/coder/coder/pull/17038,17038,9957,7,11,333,22,27db684cda92a7a26fdae13098de0c09a816b3a4,N/A,87e086298f19fec18b2ba18bf4ff39081d670570,5c2bfce8d3f2e5ae1397ab86ce177a9cf691bf5a,bpmct
