owner,repo_name,url,pull_number,stars,total_commits,changed_files,added_lines,deleted_lines,first_commit_sha,merge_commit_sha,base_commit_sha,pr_final_head_sha
go-gitea,gitea,https://github.com/go-gitea/gitea/pull/34290,34290,48836,3,9,242,31,a1420340ddc4b7b760c245bbeb3237e5c0d593cf,N/A,44ece1e6f3e026c802dbfe598882b2d1ee97b8ca,b711e5fd9102e1536218d6d99611a1caf3e3f88f
stackblitz-labs,bolt.diy,https://github.com/stackblitz-labs/bolt.diy/pull/1536,1536,16026,131,175,16102,12081,c3e1764da398071054b547b372f4682ba7dccadb,N/A,1ce6ad6b595fb2bcec9b68fa340c038337f6e5f7,8d35d04d6d1669b0320a95234411c09759708d15
github,github-mcp-server,https://github.com/github/github-mcp-server/pull/314,314,14639,3,5,419,1,8b41e0890b1a086c88bccc580425a298e4f58b49,N/A,023f59d5cc9330fb5da82f3eb9da99ba89030d25,3670d147239ae02de3c3980dcd847e1a914273bb
Automattic,wp-calypso,https://github.com/Automattic/wp-calypso/pull/100845,100845,12541,1,5,15,31,09e67f053eeff1d9e95415b4b265418c247ca772,N/A,fbec2e216131c411adf8af3cc2cb9ace89c6ac6e,09e67f053eeff1d9e95415b4b265418c247ca772
Wan-Video,Wan2.1,https://github.com/Wan-Video/Wan2.1/pull/126,126,11820,1,1,2,2,fea47e70f760a71c6081d0702fe55175ae33f767,N/A,a326079926a4a347ecda8863dc40ba2d7680a294,fea47e70f760a71c6081d0702fe55175ae33f767
woocommerce,woocommerce,https://github.com/woocommerce/woocommerce/pull/56639,56639,9798,10,13,123,52,bb08946fa4dbc69c4fa1bc18f8f3f4fa956e2a11,N/A,43fe4ffcb3ae7f1a6f0ef9db9be1bf7b674723cb,2bdc1e1a0c6b6c21a374f4a9e9681de00fb8f880
pymc-devs,pymc,https://github.com/pymc-devs/pymc/pull/7719,7719,9045,1,4,498,0,3391a9756f9e0b7f46e84780b3bbfdfda483f4a0,N/A,ad583ae32e03f06e48b5266b2ec6371cab441ff1,3391a9756f9e0b7f46e84780b3bbfdfda483f4a0
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog/pull/2088,2088,8434,1,1,29,0,12702e353939fbcd5ad2e1848901c06bf1d92445,N/A,e9edbfbfb418830f3b8c8f790dd59c55746a0ee1,12702e353939fbcd5ad2e1848901c06bf1d92445
cloudflare,workerd,https://github.com/cloudflare/workerd/pull/4005,4005,6746,1,8,636,1,fe5bb90c35c40fcce15bedf096e92df457f0f2e1,N/A,8940dc2fe192a009714209aaf80b2f81d43586a5,fe5bb90c35c40fcce15bedf096e92df457f0f2e1
livekit,agents,https://github.com/livekit/agents/pull/1592,1592,6147,2,2,44,0,b97006f764eddf8842db8361734a64ca81aac240,N/A,5896742ff6e05216b3e79cc33d069f1fe02a0a50,e0fd005e4dcc88f8ce82cc2cd7d6b33f1930160b
