owner,repo_name,url,pull_number,stars,total_commits,changed_files,added_lines,deleted_lines,first_commit_sha,merge_commit_sha,base_commit_sha,pr_final_head_sha,author_login,state
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/789,789,126,2,5,62,52,a8f5d99f5ca735f1d17d9ab3c4fdc344bd2f91ae,3905bf3899cdf6a487272ebe7399405434ae744a,851aab199ed6e42eef94b6a76fc06b29188b43a0,028c2a74e9a98d6aa0fc5246627c924c1527646b,toyamarinyon,MERGED
making,yavi,https://github.com/making/yavi/pull/463,463,810,1,1,252,20,f6c7487a032c3b4361e8f051b746803fbea4010e,dc7add976c7fc4f034ab5b1b766626143d4f81bb,b2e1b05a67566ae98023984223cfbf74d4be0f58,f6c7487a032c3b4361e8f051b746803fbea4010e,making,MERGED
Tiberriver256,mcp-server-azure-devops,https://github.com/Tiberriver256/mcp-server-azure-devops/pull/181,181,229,2,13,835,6,4a9af76d55cce290c5f2c352f7249e1584ae69a9,d2fde5f94280f08056f94b613a673d4bbe9c0192,dde58f857c787bc884179e432e20d8655d999672,98077fbc1b14362fed48539cdf86b651674bca6d,ap9035,MERGED
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/61,61,23,2,3,41,13,7a047c18d8f549c9545e1cfc8b9e96504b11b6da,7e4afc49a29314dc080259cbdd64377b3af5684d,3a099ca9088878bf2c5326731582364b36e6bfcb,28c7bffd3c4463fde7015f93589c22b731c9da25,austinlparker,MERGED
alexei-led,k8s-mcp-server,https://github.com/alexei-led/k8s-mcp-server/pull/4,4,140,5,16,1345,916,b6a44f3dba7d155bfabced0f91f1a113d6055c3f,ff041329ced6e9954efcadd9b68f8572bbf26fbd,ba6b1684adaeb0d665351cab78f3fec64866203b,479bb6d9543fa6f9a4f1ef5ffbebba57995e638e,alexei-led,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/120,120,29,3,5,74,45,033ce2f38587ebd5b4b7781d0f9c15b689c005be,33b1dce1ed91e62f76679670d0c973f6b08478cc,e4878ccd76a63136f5be9059fc584ee3e43c5caa,50b74ce4e7e494399fc71bcb757c646044626589,hkusu,MERGED
geneontology,go-ontology,https://github.com/geneontology/go-ontology/pull/30207,30207,234,1,1,3,2,1074523ee6257e8d4d70c423414d67d1777b1940,5073259e09e8ac051cae3fc65525163c3fc06e93,dc6d86f986f2e6309621c1c6cf9f6dd7fbdb7394,1074523ee6257e8d4d70c423414d67d1777b1940,cmungall,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/117,117,29,2,3,8,3,72e77b519cf578464400188921fa67e34e19b4df,949a85afeeb80916bab8976ddda80b1d1f23f9d3,67cb25b98bb4d9d84f20ce6dabe5d5363ad8770e,1e96a1e8f4de0e9ce3925f6336c015503ea3b7b9,hkusu,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/788,788,126,1,1,33,5,8dc114226a20a63269baac4cdec72d8e45100dd9,851aab199ed6e42eef94b6a76fc06b29188b43a0,65adf60f56985bfdc636fdbbb40ccd7bc6c604cb,8dc114226a20a63269baac4cdec72d8e45100dd9,toyamarinyon,MERGED
mattgodbolt,jsbeeb,https://github.com/mattgodbolt/jsbeeb/pull/483,483,363,7,4,762,116,3b3e20d645b4658e75b5f08954ba73bb22fe09e5,a000af9042ff1b5593350e79c5e31a5c89b154ff,addb3f5e81550bd6b8dea2552bc071f20c1cc06f,278c1c9515da66b377967c266f03127ac00851d4,mattgodbolt,MERGED
geneontology,go-ontology,https://github.com/geneontology/go-ontology/pull/30145,30145,234,2,1,4,0,0bf26cef7c1bc302110f1ba59a473cf8a06aec34,783f3a74e218fe6ec7d185b8950d12ade8cff8f6,c3a8974e1b8115ec1751719be15f0d38674e9e0a,6754c3ed3b9a543cdf91ceb1eae5912e973c0dc8,cmungall,MERGED
Tiberriver256,mcp-server-azure-devops,https://github.com/Tiberriver256/mcp-server-azure-devops/pull/168,168,229,1,10,561,2,3e861a2e82152d80e8eb434cd9da237d8091d304,e9ba71bfeb2c3a2dc0e1e314698a453d5995d099,dbbfba754782430f005efdde13e81fe4abb788f7,3e861a2e82152d80e8eb434cd9da237d8091d304,ap9035,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/119,119,29,1,1,97,0,27cc72be08dd593fc4d64ba822ec78da0419f276,e4878ccd76a63136f5be9059fc584ee3e43c5caa,d8f1f74601956f0a562b0b7cdc9d325d369d19e6,27cc72be08dd593fc4d64ba822ec78da0419f276,hkusu,MERGED
anthropics,claude-code,https://github.com/anthropics/claude-code/pull/794,794,11390,1,3,246,0,1183388fdfc32a6eaf3a7c4ef18b5b4c23c44dad,16c5dff959c96d1a8d60f26f5fa3f2026df55651,5eb232b866411f9eb5b916cf4df705b7793ceb50,1183388fdfc32a6eaf3a7c4ef18b5b4c23c44dad,ashwin-ant,MERGED
vfarcic,crossplane-sql,https://github.com/vfarcic/crossplane-sql/pull/145,145,15,1,16,286,79,f0b03998c1ef0745208ed7f6f979273c42657170,71df99c51b084ee69d89907401f9a64429eb9146,0607b3fc52fc7cbb316b961e923aea0d36f9f015,f0b03998c1ef0745208ed7f6f979273c42657170,vfarcic,MERGED
pozar87,apts,https://github.com/pozar87/apts/pull/14,14,10,2,8,267,7,0b41d178f3f1b8532ba5f2b844f42af4d8d46208,4b4138c218455e1b6a56dae54940109cd9a2026a,e145f4e2bc5e673c540a0d13fa9ca02629bd371b,38d6714f8aa0e1d3cf23d2bfff54a0d7613c1a57,pozar87,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/787,787,126,1,1,6,3,6f03d4b66b2748e323e75c948f2b2148c5e961cd,b2c694d9226d8043a20a01e8719e82b76f6da7ac,65adf60f56985bfdc636fdbbb40ccd7bc6c604cb,6f03d4b66b2748e323e75c948f2b2148c5e961cd,toyamarinyon,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/115,115,29,2,3,31,79,0201f27cc9cce7662f901b1bc218ce68b1afd778,7f821c1c94c3117a0ed7352bfd2449cfbf4d1cbd,c5dfa50f2ef999300038993a1ab342251b0da0ba,877532076096271448393bda2b23609881c6160b,hkusu,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/768,768,126,2,4,33,33,44896e25e378962a08cdbdf2a6645c5c5c57ac74,ab23ed700b0646acc96f1056d8eccbf5428b3709,7a9236985c0bd48a901c8cd931b00e4a4c46fad9,d8cba27343307c1a81faaed8817c0c1deede7c0f,toyamarinyon,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/118,118,29,1,5,97,9,5ac99bc2658ef0d9c9b4c1e4b82e84d6f429beab,d8f1f74601956f0a562b0b7cdc9d325d369d19e6,949a85afeeb80916bab8976ddda80b1d1f23f9d3,5ac99bc2658ef0d9c9b4c1e4b82e84d6f429beab,hkusu,MERGED
pozar87,apts,https://github.com/pozar87/apts/pull/13,13,10,11,5,1312,752,c593a5956ede336e87e39047e55e24eaa9e5dbd0,507b00843bd62a2445f0d2dbe1efea40b110e619,e1e3f6273692f4bed72b8dd83772cb08e1be5036,61c4198fa311980b98aaaa2c1b34f1689d891b90,pozar87,MERGED
natolambert,rlhf-book,https://github.com/natolambert/rlhf-book/pull/112,112,990,1,5,7,7,70ea1c56bd66e66b3a4b15106e294c1331e414e8,0fa151100df232bc8e2f4128155aafe0955a1547,2fa7f2daf43d4729246b96925423c48c72e09cb6,70ea1c56bd66e66b3a4b15106e294c1331e414e8,natolambert,MERGED
brentyi,tyro,https://github.com/brentyi/tyro/pull/290,290,646,7,4,45,25,63c824fd8f36defd521a761dfe497f581e2129fe,dd8187b3be408d42f8c12600607f96dc15f2f992,cdf2050d786ad662c23e353f6a7ca5bc26f97598,4733f5e517b85602f2d14fefc51e8335e26e2c5e,brentyi,MERGED
mattermost,mattermost-mobile,https://github.com/mattermost/mattermost-mobile/pull/8797,8797,2386,2,1,6,0,c65dcc3063314072317b8db9a64ab6c38d5824c8,d33ad7b2a05ea33f757e91fc8aabf058c03b1911,b01cc5ea34f53f60a88f1337c92930ad0849a5bf,6da1599225c43237ee0edf90c32fd500ca7f94ce,lieut-data,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/744,744,126,2,3,9,6,51aadb210bfa1379ba819f7daf2f5a6ee21443bd,caa4f88df84b8dfc97e3fd9a45df19ed1cf4d637,1d10a7c086fc9042eaea400817a2439599f4caf3,3a688a65dcc60d653e116884487558abb483b4ad,toyamarinyon,MERGED
zenml-io,zenml,https://github.com/zenml-io/zenml/pull/3527,3527,4620,1,3,820,0,464902004ffb3c96501d914af259d699930fbe3a,878b6ac54f581bd1dd5bdd4c0ff954436b93c05f,c0e1aaf8e8e4fb418c28f8d418a292708efccd1e,464902004ffb3c96501d914af259d699930fbe3a,strickvl,MERGED
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30708,30708,32708,1,2,4,2,f390b32475844c5b01f196fe4eab76e5218565bf,6a228877b769b7dd3d4e715a14568c4042f4189f,357aa58163a3d8d3172e1429f05a619c84a95dcc,f390b32475844c5b01f196fe4eab76e5218565bf,hanzei,MERGED
obophenotype,uberon,https://github.com/obophenotype/uberon/pull/3508,3508,140,2,1,2,2,c766ce4f9afcc5a4c7f777636a0f05ffe8788dc2,31b1ce22f321cfc55549aebfe1ea3c11c8fe11cd,2d9f7d21b7508c9fbc789785fc3ebfd86e7e8011,45d4ba55e3d7f54733d25b9de3e9326490926b95,cmungall,MERGED
