owner,repo_name,C3,pull_number,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,created_at,merged_at,time_to_merge
567-labs,instructor,https://github.com/567-labs/instructor/pull/1378,1378,2025-03-05T01:29:51Z,10691,6,7,780,148,dcd3486f304e46838436af6738cd6f6bb0359154,eb5680f6b2390ea79abefa7717e79b51d3d09525,9066ad02c01a8dd6a92c563791d1e0cbb35e5b8a,0c4cc032f38e88f4c135f3fc3065230095fa9310,jxnl,MERGED,2025-03-05T01:29:51Z,2025-03-05T01:50:12Z,0:20:21
567-labs,instructor,https://github.com/567-labs/instructor/pull/1095,1095,2024-10-17T21:16:32Z,10691,21,11,503,348,5ec8c6895b046a134631f99b14d97ef3f669ca00,9a7822a84a6803eb3f4aef87b73d7d06a239cc67,59f1d6a1b5bf0bc5ffe897a32f6f5e25713739ec,4e88f7055a90dc1643d841b2265b4b1287af107a,jxnl,MERGED,2024-10-17T21:16:32Z,2024-10-20T15:43:16Z,"2 days, 18:26:44"
567-labs,instructor,https://github.com/567-labs/instructor/pull/1030,1030,2024-09-30T01:30:51Z,10691,10,5,193,225,c4ccc42a5675c65634d55e8c2ceb4f5352ca4bf7,9368ad9f72844cfa5364a48dda4ce8edef7d76de,466528132056424ddf2ef794aacaf6b4f6e31c88,ab7cbaa700f234cc384facda9d7053c8e0967e17,jxnl,MERGED,2024-09-30T01:30:51Z,2024-10-11T05:55:12Z,"11 days, 4:24:21"
567-labs,instructor,https://github.com/567-labs/instructor/pull/1430,1430,2025-03-19T02:47:59Z,10691,4,1,115,0,26d556da09d6ae00720ffce8854223e0ce43e78e,6b5fde0dc58994b63692120dfc94615e4d55cf8d,0f3af272f537efbb4a2d0ec909209da0d25c56f5,1110720806a94c049bbc15fa1bd0f5734d77d95f,jxnl,MERGED,2025-03-19T02:47:59Z,2025-03-19T02:56:22Z,0:08:23
567-labs,instructor,https://github.com/567-labs/instructor/pull/831,831,2024-07-11T22:33:09Z,10691,4,4,380,0,6a891aa40c83e02a033ac3546be75bbcd988e17a,7ae8178ca93b903575efc911e38984fdb6c114fd,cd0a75f9b1c6c7ad22b909c275a20815ae54e03a,b84325864d1824df79a158931bd08d4b5f25611c,jxnl,MERGED,2024-07-11T22:33:09Z,2024-07-15T03:16:35Z,"3 days, 4:43:26"
567-labs,instructor,https://github.com/567-labs/instructor/pull/1407,1407,2025-03-15T00:34:07Z,10691,2,2,148,7,9d1dc18511578a00e20af37765ec9b14b7ae1d66,ab33948d0a93637d036b6fbdb075b05c700f36a2,2086f3ea583f01d5a2d717bd05ccc2d2682df3ef,6bc98ba3f92e3a8b5b4d04aa0a8d1f26cf135891,jxnl,MERGED,2025-03-15T00:34:07Z,2025-03-15T00:34:52Z,0:00:45
567-labs,instructor,https://github.com/567-labs/instructor/pull/1369,1369,2025-03-04T04:23:26Z,10691,8,27,2638,440,4d49cb64e17eee641396080d24610719e344de13,cf01774c40bce575e4d6bb90e08d79e0dfbe615c,77517f9666d5b009598b3e5918d5f3245708035c,0406238733c130b33db66ee0d7c43c57906b5e3e,jxnl,MERGED,2025-03-04T04:23:26Z,2025-03-04T04:41:41Z,0:18:15
84codes,crystal-packages,https://github.com/84codes/crystal-packages/pull/22,22,2025-01-27T13:13:09Z,17,1,1,1,1,eabe37345a3913ad8ec9725d07a1fec39cd0f346,a2401be2c1775317e02dfe2d5cded2c1150bc351,0ba7a81efff3e89f15a56220ef71630f19f2fa84,eabe37345a3913ad8ec9725d07a1fec39cd0f346,carlhoerberg,MERGED,2025-01-27T13:13:09Z,2025-01-27T14:35:31Z,1:22:22
84codes,crystal-packages,https://github.com/84codes/crystal-packages/pull/25,25,2025-04-09T11:54:05Z,17,2,2,24,36,59d4666bd670e8c9e5155c4bff01b42cf6416a21,3b93e8cf64e5042756d2f1487db8c492ff90e28c,a687e285740dcbe4edd480cfce15c867c0b8d5a4,3ac4de7ac3551072274a926df1171f6430a089d4,carlhoerberg,MERGED,2025-04-09T11:54:05Z,2025-04-09T13:41:50Z,1:47:45
ApeWorX,ape,https://github.com/ApeWorX/ape/pull/2122,2122,2024-06-10T11:12:04Z,968,2,1,2,0,aebe5e87e9ae20e4cf54ebb15dd8a2064be1035e,73bc44ba2c12ae9eaf207144d9ada590f9070da7,58c43312b3bc5f78bc569652e45d0834c1c65006,e94c9a9f892ee55c630859cf7c23dd34f3017b8f,banteg,MERGED,2024-06-10T11:12:04Z,2024-06-10T16:48:30Z,5:36:26
ApeWorX,ape,https://github.com/ApeWorX/ape/pull/2534,2534,2025-02-26T18:48:20Z,968,10,11,430,89,8ef9a14af39cc75450f61f24cd398a8d725281c2,6a054a5c9478aa34fdaef21825e8f96d89b78ae9,f890c1521bcbb8818914f14df1fd66f3c94a0162,4a34f055ec9e1fdbb4381614ce5be6570ef2247e,banteg,MERGED,2025-02-26T18:48:20Z,2025-03-06T01:55:02Z,"7 days, 7:06:42"
C-Loftus,talon-ai-tools,https://github.com/C-Loftus/talon-ai-tools/pull/181,181,2025-04-06T23:42:08Z,69,1,6,18,18,874f56880c2e3f4307d3b130015257606f11cac4,0f530b95e549faf058fb223925919fb58535b794,e6cfaffeeef4b0550776a8114530cec6e4d4788b,874f56880c2e3f4307d3b130015257606f11cac4,wolfmanstout,MERGED,2025-04-06T23:42:08Z,2025-04-07T00:44:40Z,1:02:32
ComposioHQ,composio,https://github.com/ComposioHQ/composio/pull/1540,1540,2025-04-11T19:58:30Z,25452,1,1,2,2,4729286431fa7b49cb819e506677bbf647ae7e9a,2774aa6b4d9b5cfc3cd43768232b0555bc3fe504,bf2965263019b5926bf0816b51bedcd1b9c6c066,4729286431fa7b49cb819e506677bbf647ae7e9a,alt-glitch,MERGED,2025-04-11T19:58:30Z,2025-04-11T19:58:53Z,0:00:23
E3SM-Project,e3sm_diags,https://github.com/E3SM-Project/e3sm_diags/pull/830,830,2024-07-25T23:18:02Z,48,2,2,15,5,45ef05f309b961f9172a49dc86f755827179fe96,b77d681280e6825eb740af89705ac0888820a0ab,ff43931adac3dc0cc0471106760508ea28d3b8fe,3ca72ec0f163a4ac089f00aecc24599c7743133f,chengzhuzhang,MERGED,2024-07-25T23:18:02Z,2024-07-25T23:55:43Z,0:37:41
Erlemar,pytorch_tempest,https://github.com/Erlemar/pytorch_tempest/pull/66,66,2024-08-03T07:06:47Z,220,2,6,29,6,d0d0205d1ada533e5de72a1daac8272d8c5087c2,9deb104aa8ce74e6d635569d50e826312dedb9f9,8a5e66c9e0e585d40bd35178ea76b9547ab61408,45fdf720c07122c452e50a362a7468d9b069e9a7,Erlemar,MERGED,2024-08-03T07:06:47Z,2024-08-03T07:27:12Z,0:20:25
