owner,repo_name,pull_number,url,first_commit_changefile,total_changefile
giselles-ai,giselle,789,https://github.com/giselles-ai/giselle/pull/789,packages/giselle-engine/package.json;pnpm-lock.yaml;pnpm-workspace.yaml,packages/giselle-engine/package.json;packages/giselle-engine/src/react/generations/contexts/generation-runner-system.tsx;packages/giselle-engine/src/react/generations/hooks/use-node-generations.ts;pnpm-lock.yaml;pnpm-workspace.yaml
making,yavi,463,https://github.com/making/yavi/pull/463,src/main/java/am/ik/yavi/core/ConstraintViolation.java,src/main/java/am/ik/yavi/core/ConstraintViolation.java
Tiberriver256,mcp-server-azure-devops,181,https://github.com/Tiberriver256/mcp-server-azure-devops/pull/181,README.md;docs/tools/README.md;docs/tools/core-navigation.md;docs/tools/pull-requests.md;src/features/pull-requests/index.ts;src/features/pull-requests/list-pull-requests/feature.spec.int.ts;src/features/pull-requests/list-pull-requests/feature.spec.unit.ts;src/features/pull-requests/list-pull-requests/feature.ts;src/features/pull-requests/list-pull-requests/index.ts;src/features/pull-requests/list-pull-requests/schema.ts;src/features/pull-requests/schemas.ts;src/features/pull-requests/types.ts;src/server.ts,README.md;docs/tools/README.md;docs/tools/core-navigation.md;docs/tools/pull-requests.md;src/features/pull-requests/index.ts;src/features/pull-requests/list-pull-requests/feature.spec.int.ts;src/features/pull-requests/list-pull-requests/feature.spec.unit.ts;src/features/pull-requests/list-pull-requests/feature.ts;src/features/pull-requests/list-pull-requests/index.ts;src/features/pull-requests/list-pull-requests/schema.ts;src/features/pull-requests/schemas.ts;src/features/pull-requests/types.ts;src/server.ts
honeycombio,honeycomb-mcp,61,https://github.com/honeycombio/honeycomb-mcp/pull/61,package.json;src/utils/constants.ts,package.json;pnpm-lock.yaml;src/utils/constants.ts
alexei-led,k8s-mcp-server,4,https://github.com/alexei-led/k8s-mcp-server/pull/4,docs/architecture.md;docs/claude-integration.md;docs/cloud-providers.md;docs/environment-variables.md;docs/getting-started.md;docs/security.md;docs/spec.md;docs/supported-tools.md,.github/workflows/ci.yml;.github/workflows/release.yml;Makefile;README.md;deploy/docker/Dockerfile;deploy/docker/docker-compose.yml;docs/architecture.md;docs/claude-integration.md;docs/cloud-providers.md;docs/environment-variables.md;docs/getting-started.md;docs/security.md;docs/spec.md;docs/supported-tools.md;pyproject.toml;src/k8s_mcp_server/__init__.py
yumemi-inc,Tart,120,https://github.com/yumemi-inc/Tart/pull/120,tart-message/src/commonMain/kotlin/io/yumemi/tart/message/MessageMiddleware.kt;tart-message/src/commonTest/kotlin/io/yumemi/tart/message/MessageMiddlewareTest.kt,README.md;tart-logging/src/commonMain/kotlin/io/yumemi/tart/logging/LoggingMiddleware.kt;tart-logging/src/commonTest/kotlin/io/yumemi/tart/logging/LoggingMiddlewareTest.kt;tart-message/src/commonMain/kotlin/io/yumemi/tart/message/MessageMiddleware.kt;tart-message/src/commonTest/kotlin/io/yumemi/tart/message/MessageMiddlewareTest.kt
geneontology,go-ontology,30207,https://github.com/geneontology/go-ontology/pull/30207,src/ontology/go-edit.obo,src/ontology/go-edit.obo
yumemi-inc,Tart,117,https://github.com/yumemi-inc/Tart/pull/117,tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreImpl.kt;tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreScope.kt,tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreImpl.kt;tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreScope.kt;tart-core/src/commonTest/kotlin/io/yumemi/tart/core/StoreBaseTest.kt
giselles-ai,giselle,788,https://github.com/giselles-ai/giselle/pull/788,internal-packages/workflow-designer-ui/src/editor/node/node.tsx,internal-packages/workflow-designer-ui/src/editor/node/node.tsx
mattgodbolt,jsbeeb,483,https://github.com/mattgodbolt/jsbeeb/pull/483,CLAUDE.md;src/main.js;src/url-params.js;tests/unit/test-url-params.js,CLAUDE.md;src/main.js;src/url-params.js;tests/unit/test-url-params.js
geneontology,go-ontology,30145,https://github.com/geneontology/go-ontology/pull/30145,src/ontology/go-edit.obo,src/ontology/go-edit.obo
Tiberriver256,mcp-server-azure-devops,168,https://github.com/Tiberriver256/mcp-server-azure-devops/pull/168,README.md;docs/tools/pipelines.md;src/features/pipelines/index.ts;src/features/pipelines/trigger-pipeline/feature.spec.int.ts;src/features/pipelines/trigger-pipeline/feature.spec.unit.ts;src/features/pipelines/trigger-pipeline/feature.ts;src/features/pipelines/trigger-pipeline/index.ts;src/features/pipelines/trigger-pipeline/schema.ts;src/features/pipelines/types.ts;src/server.ts,README.md;docs/tools/pipelines.md;src/features/pipelines/index.ts;src/features/pipelines/trigger-pipeline/feature.spec.int.ts;src/features/pipelines/trigger-pipeline/feature.spec.unit.ts;src/features/pipelines/trigger-pipeline/feature.ts;src/features/pipelines/trigger-pipeline/index.ts;src/features/pipelines/trigger-pipeline/schema.ts;src/features/pipelines/types.ts;src/server.ts
yumemi-inc,Tart,119,https://github.com/yumemi-inc/Tart/pull/119,tart-core/src/commonTest/kotlin/io/yumemi/tart/core/MiddlewareTest.kt,tart-core/src/commonTest/kotlin/io/yumemi/tart/core/MiddlewareTest.kt
anthropics,claude-code,794,https://github.com/anthropics/claude-code/pull/794,.github/actions/claude-code-action/action.yml;.github/actions/claude-issue-triage-action/action.yml;.github/workflows/claude-issue-triage.yml,.github/actions/claude-code-action/action.yml;.github/actions/claude-issue-triage-action/action.yml;.github/workflows/claude-issue-triage.yml
vfarcic,crossplane-sql,145,https://github.com/vfarcic/crossplane-sql/pull/145,.gitignore;CLAUDE.md;devbox.json;devbox.lock;dot.nu;eksctl-config-dot.yaml;examples/aws-ack.md;examples/aws.md;examples/azure-aso-secret.yaml;examples/azure-aso.md;examples/azure-aso.yaml;prompts/apply-service.md;prompts/create-diagram.md;prompts/observe-service.md;scripts/ack.nu;scripts/aso.nu,.gitignore;CLAUDE.md;devbox.json;devbox.lock;dot.nu;eksctl-config-dot.yaml;examples/aws-ack.md;examples/aws.md;examples/azure-aso-secret.yaml;examples/azure-aso.md;examples/azure-aso.yaml;prompts/apply-service.md;prompts/create-diagram.md;prompts/observe-service.md;scripts/ack.nu;scripts/aso.nu
pozar87,apts,14,https://github.com/pozar87/apts/pull/14,README.md;apts/__init__.py;apts/notify.py;apts/observations.py;examples/check.py;examples/custom_template.py;tests/notify_test.py;tests/observations_test.py,README.md;apts/__init__.py;apts/notify.py;apts/observations.py;examples/check.py;examples/custom_template.py;tests/notify_test.py;tests/observations_test.py
giselles-ai,giselle,787,https://github.com/giselles-ai/giselle/pull/787,internal-packages/workflow-designer-ui/src/editor/tool/toolbar/component.tsx,internal-packages/workflow-designer-ui/src/editor/tool/toolbar/component.tsx
yumemi-inc,Tart,115,https://github.com/yumemi-inc/Tart/pull/115,tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreBuilder.kt,tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreBuilder.kt;tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreImpl.kt;tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreScope.kt
giselles-ai,giselle,768,https://github.com/giselles-ai/giselle/pull/768,apps/playground/tsconfig.tsbuildinfo;pnpm-lock.yaml;pnpm-workspace.yaml,apps/playground/tsconfig.tsbuildinfo;docs/packages-license.md;pnpm-lock.yaml;pnpm-workspace.yaml
yumemi-inc,Tart,118,https://github.com/yumemi-inc/Tart/pull/118,tart-core/src/commonMain/kotlin/io/yumemi/tart/core/Middleware.kt;tart-core/src/commonMain/kotlin/io/yumemi/tart/core/MiddlewareScope.kt;tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreImpl.kt;tart-logging/src/commonMain/kotlin/io/yumemi/tart/logging/LoggingMiddleware.kt;tart-message/src/commonMain/kotlin/io/yumemi/tart/message/MessageMiddleware.kt,tart-core/src/commonMain/kotlin/io/yumemi/tart/core/Middleware.kt;tart-core/src/commonMain/kotlin/io/yumemi/tart/core/MiddlewareScope.kt;tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreImpl.kt;tart-logging/src/commonMain/kotlin/io/yumemi/tart/logging/LoggingMiddleware.kt;tart-message/src/commonMain/kotlin/io/yumemi/tart/message/MessageMiddleware.kt
pozar87,apts,13,https://github.com/pozar87/apts/pull/13,apts/__init__.py;apts/observations.py,.gitignore;Test.ipynb;apts/__init__.py;apts/observations.py;tests/messier_test.py
natolambert,rlhf-book,112,https://github.com/natolambert/rlhf-book/pull/112,chapters/01-introduction.md;chapters/04-optimization.md;chapters/14-reasoning.md;chapters/16-evaluation.md;chapters/17-over-optimization.md,chapters/01-introduction.md;chapters/04-optimization.md;chapters/14-reasoning.md;chapters/16-evaluation.md;chapters/17-over-optimization.md
brentyi,tyro,290,https://github.com/brentyi/tyro/pull/290,src/tyro/__init__.py;src/tyro/_cli.py,docs/source/examples/hierarchical_structures.rst;src/tyro/__init__.py;src/tyro/_cli.py;src/tyro/extras/_base_configs.py;src/tyro/extras/_subcommand_app.py;src/tyro/extras/_subcommand_cli_from_dict.py;tests/test_custom_constructors.py;tests/test_py311_generated/test_custom_constructors_generated.py;tests/test_py311_generated/test_duplicate_subcommand_warning_generated.py
mattermost,mattermost-mobile,8797,https://github.com/mattermost/mattermost-mobile/pull/8797,scripts/clean.sh,scripts/clean.sh
giselles-ai,giselle,744,https://github.com/giselles-ai/giselle/pull/744,packages/language-model/src/openai.ts,internal-packages/workflow-designer-ui/src/editor/properties-panel/text-generation-node-properties-panel/model/openai.tsx;packages/giselle-engine/src/core/generations/generate-text.ts;packages/language-model/src/openai.ts
zenml-io,zenml,3527,https://github.com/zenml-io/zenml/pull/3527,docs/book/user-guide/toc.md;docs/book/user-guide/tutorial/trigger-pipelines-from-external-systems.md;src/zenml/cli/__init__.py,docs/book/user-guide/toc.md;docs/book/user-guide/tutorial/trigger-pipelines-from-external-systems.md;src/zenml/cli/__init__.py
mattermost,mattermost,30708,https://github.com/mattermost/mattermost/pull/30708,server/.golangci.yml;server/channels/jobs/jobs.go,server/.golangci.yml;server/channels/jobs/jobs.go
obophenotype,uberon,3508,https://github.com/obophenotype/uberon/pull/3508,src/ontology/uberon-edit.obo,src/ontology/uberon-edit.obo
vfarcic,crossplane-sql,144,https://github.com/vfarcic/crossplane-sql/pull/144,.gitignore;CLAUDE.md;dot.nu;examples/aws.md;examples/diag-aws.md;prompts/diagram.md,.gitignore;CLAUDE.md;dot.nu;examples/aws.md;examples/diag-aws.md;prompts/diagram.md
yumemi-inc,Tart,111,https://github.com/yumemi-inc/Tart/pull/111,tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreImpl.kt;tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreScope.kt,README.md;tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreImpl.kt;tart-core/src/commonMain/kotlin/io/yumemi/tart/core/StoreScope.kt;tart-core/src/commonTest/kotlin/io/yumemi/tart/core/EventStreamUseCaseTest.kt;tart-core/src/commonTest/kotlin/io/yumemi/tart/core/FlowCollectUseCaseTest.kt;tart-core/src/commonTest/kotlin/io/yumemi/tart/core/ServiceWrapperUseCaseTest.kt;tart-core/src/commonTest/kotlin/io/yumemi/tart/core/StoreStateCoroutineScopeTest.kt;tart-core/src/commonTest/kotlin/io/yumemi/tart/core/WebSocketUseCaseTest.kt
qltysh,qlty,1964,https://github.com/qltysh/qlty/pull/1964,Cargo.lock,Cargo.lock;Cargo.toml;qlty-check/src/executor/invocation_result.rs;qlty-check/src/tool/ruby.rs;qlty-cli/src/initializer/templates/qlty.toml;qlty-cli/tests/cmd/init/basic.stdout;qlty-cli/tests/cmd/init/config_based_multiple_versions.stdout;qlty-cli/tests/cmd/init/config_based_version_new.stdout;qlty-cli/tests/cmd/init/config_based_version_old.stdout;qlty-cli/tests/cmd/init/custom_source.stdout;qlty-cli/tests/cmd/init/package_file.stdout;qlty-cli/tests/cmd/init/package_file_gemfile.stdout;qlty-cli/tests/cmd/init/package_file_gemfile_lock.stdout;qlty-cli/tests/cmd/init/package_file_gemfile_with_gemspec.stdout;qlty-cli/tests/cmd/init/package_file_package_json.stdout;qlty-cli/tests/cmd/init/package_file_yarn_lock.stdout;qlty-cli/tests/cmd/init/prefix.stdout;qlty-cli/tests/cmd/init/skip_default_source.stdout;qlty-coverage/Cargo.toml;qlty-coverage/src/parser/clover.rs
