owner,repo_name,pull_number,url,first_commit_changefile,total_changefile
567-labs,instructor,1071,https://github.com/567-labs/instructor/pull/1071,instructor/reask.py;instructor/retry.py,instructor/dsl/iterable.py;instructor/dsl/partial.py;instructor/exceptions.py;instructor/patch.py;instructor/reask.py;instructor/retry.py;instructor/templating.py
567-labs,instructor,1428,https://github.com/567-labs/instructor/pull/1428,.cursor/rules/documentation-sync.mdc;.cursor/rules/followups.mdc;.cursor/rules/new-features-planning.mdc;.cursor/rules/readme.md;.cursor/rules/simple-language.mdc,.cursor/rules/documentation-sync.mdc;.cursor/rules/followups.mdc;.cursor/rules/new-features-planning.mdc;.cursor/rules/readme.md;.cursor/rules/simple-language.mdc;CONTRIBUTING.md;docs/contributing.md;docs/integrations/mistral.md;docs/integrations/vertex.md;docs/llm.txt;docs/modes-comparison.md;instructor/client_mistral.py;instructor/dsl/iterable.py;instructor/dsl/partial.py;mkdocs.yml
567-labs,instructor,830,https://github.com/567-labs/instructor/pull/830,docs/examples/local_classification.md;mkdocs.yml,docs/examples/local_classification.md;docs/prompting/decomposition/skeleton_of_thought.md;instructor/client.py;instructor/dsl/partial.py;instructor/function_calls.py;mkdocs.yml;pyproject.toml
567-labs,instructor,1045,https://github.com/567-labs/instructor/pull/1045,docs/concepts/multimodal.md;instructor/__init__.py;instructor/multimodal.py;instructor/process_response.py;tests/llm/test_openai/test_multimodal.py;tests/test_multimodal.py,.github/workflows/test.yml;docs/concepts/multimodal.md;instructor/__init__.py;instructor/multimodal.py;instructor/process_response.py;make_sitemap.py;mkdocs.yml;tests/llm/test_openai/test_multimodal.py;tests/test_multimodal.py
567-labs,instructor,1430,https://github.com/567-labs/instructor/pull/1430,docs/blog/posts/cursor-rules.md,docs/blog/posts/cursor-rules.md
567-labs,instructor,1429,https://github.com/567-labs/instructor/pull/1429,instructor/dsl/iterable.py;pr_body.md,.gitignore;docs/blog/index.md;docs/blog/posts/cursor-rules.md;docs/blog/posts/img/agent_mcp_example.png;docs/blog/posts/img/claude_desktop_mcp.png;docs/blog/posts/img/claude_desktop_screenshot.png;docs/blog/posts/img/cursor_mcp_agent.png;docs/blog/posts/img/cursor_mcp_support.png;docs/blog/posts/img/mcp_architecture.png;docs/blog/posts/img/mcp_stars.webp;docs/blog/posts/llms-txt-adoption.md;docs/blog/posts/why-care-about-mcps.md;docs/examples/audio_extraction.md;docs/examples/index.md;docs/examples/tracing_with_langfuse.md;docs/integrations/genai.md;docs/integrations/google.md;docs/llms.txt;instructor/client.py;instructor/client_genai.py;instructor/dsl/iterable.py;instructor/dsl/partial.py;instructor/multimodal.py;instructor/process_response.py;mkdocs.yml;pr_body.md;pyproject.toml;tests/assets/invoice.pdf;tests/llm/test_genai/test_long_prompt.py;tests/llm/test_genai/test_multimodal.py;tests/llm/test_genai/test_stream.py;tests/llm/test_genai/util.py
567-labs,instructor,1426,https://github.com/567-labs/instructor/pull/1426,test_multiline_pr.md,.cursor/rules/new-features-planning.mdc;pr_body.md;test_multiline_pr.md
567-labs,instructor,1432,https://github.com/567-labs/instructor/pull/1432,.gitignore;docs/llms.txt,.gitignore;docs/llms.txt
567-labs,instructor,1030,https://github.com/567-labs/instructor/pull/1030,instructor/client_cohere.py;instructor/patch.py,.github/dependabot.yml;.github/workflows/test.yml;README.md;docs/blog/.authors.yml;docs/blog/index.md;docs/blog/posts/fake-data.md;docs/blog/posts/img/distil_openai.png;docs/blog/posts/introducing-cerebras-support.md;docs/blog/posts/introducing-structured-outputs-with-cerebras-inference.md;docs/blog/posts/openai-distilation-store.md;docs/concepts/index.md;docs/concepts/multimodal.md;docs/concepts/prompt_caching.md;docs/concepts/retrying.md;docs/concepts/templating.md;docs/examples/batch_job_oai.md;docs/examples/bulk_classification.md;docs/examples/classification.md;docs/examples/document_segmentation.md;docs/examples/examples.md;docs/examples/extract_slides.md;docs/examples/extracting_receipts.md;docs/examples/extracting_tables.md;docs/examples/groq.md;docs/examples/image_to_ad_copy.md;docs/examples/index.md;docs/examples/knowledge_graph.md;docs/examples/mistral.md;docs/examples/moderation.md;docs/examples/multi_modal_gemini.md;docs/examples/pii.md;docs/examples/planning-tasks.md;docs/examples/search.md;docs/examples/self_critique.md;docs/examples/sqlmodel.md;docs/hooks/hide_lines.py;docs/hub/anthropic.md;docs/hub/multiple_classification.md;docs/hub/vertexai.md;docs/index.md;docs/prompting/decomposition/program_of_thought.md;docs/prompting/ensembling/meta_cot.md;docs/prompting/ensembling/self_consistency.md;docs/prompting/ensembling/universal_self_consistency.md;docs/prompting/few_shot/example_generation/sg_icl.md;docs/prompting/few_shot/exemplar_selection/knn.md;docs/prompting/self_criticism/reversecot.md;docs/prompting/thought_generation/chain_of_thought_few_shot/uncertainty_routed_cot.md;docs/prompting/thought_generation/chain_of_thought_zero_shot/analogical_prompting.md;docs/prompting/zero_shot/simtom.md;docs/prompting/zero_shot/style_prompting.md;instructor/__init__.py;instructor/batch.py;instructor/client.py;instructor/client_cerebras.py;instructor/client_cohere.py;instructor/dsl/iterable.py;instructor/dsl/parallel.py;instructor/dsl/partial.py;instructor/function_calls.py;instructor/mode.py;instructor/multimodal.py;instructor/patch.py;instructor/process_response.py;instructor/retry.py;instructor/templating.py;instructor/utils.py;make_sitemap.py;mkdocs.yml;poetry.lock;pyproject.toml;requirements-examples.txt;sitemap.yaml;tests/llm/test_cerebras/__init__.py;tests/llm/test_cerebras/modes.py;tests/llm/test_gemini/conftest.py;tests/llm/test_gemini/evals/test_entities.py;tests/llm/test_gemini/test_format.py;tests/llm/test_gemini/test_patch.py;tests/llm/test_gemini/util.py;tests/llm/test_openai/conftest.py;tests/llm/test_openai/docs/test_prompt_tips.py;tests/llm/test_openai/test_attr.py;tests/llm/test_openai/test_multimodal.py;tests/llm/test_openai/test_parallel.py;tests/test_formatting.py;tests/test_function_calls.py;tests/test_multimodal.py
567-labs,instructor,1064,https://github.com/567-labs/instructor/pull/1064,docs/cli/batch.md;instructor/batch.py;instructor/cli/batch.py;instructor/cli/cli.py,.github/workflows/test.yml;.github/workflows/test_docs.yml;README.md;docs/api.md;docs/blog/.authors.yml;docs/blog/index.md;docs/blog/posts/aisummit-2023.md;docs/blog/posts/announcing-gemini-tool-calling-support.md;docs/blog/posts/anthropic-prompt-caching.md;docs/blog/posts/anthropic.md;docs/blog/posts/bad-schemas-could-break-llms.md;docs/blog/posts/best_framework.md;docs/blog/posts/caching.md;docs/blog/posts/chain-of-density.md;docs/blog/posts/citations.md;docs/blog/posts/course.md;docs/blog/posts/distilation-part1.md;docs/blog/posts/fake-data.md;docs/blog/posts/full-fastapi-visibility.md;docs/blog/posts/generator.md;docs/blog/posts/img/youtube-flashcards/annotations.png;docs/blog/posts/img/youtube-flashcards/flashcards.png;docs/blog/posts/img/youtube-flashcards/telemetry.gif;docs/blog/posts/introducing-structured-outputs-with-cerebras-inference.md;docs/blog/posts/introducing-structured-outputs.md;docs/blog/posts/introduction.md;docs/blog/posts/jinja-proposal.md;docs/blog/posts/langsmith.md;docs/blog/posts/learn-async.md;docs/blog/posts/logfire.md;docs/blog/posts/matching-language.md;docs/blog/posts/open_source.md;docs/blog/posts/openai-distilation-store.md;docs/blog/posts/pairwise-llm-judge.md;docs/blog/posts/parea.md;docs/blog/posts/pydantic-is-still-all-you-need.md;docs/blog/posts/rag-and-beyond.md;docs/blog/posts/rag-timelines.md;docs/blog/posts/situate-context.md;docs/blog/posts/timestamp.md;docs/blog/posts/using_json.md;docs/blog/posts/validation-part1.md;docs/blog/posts/version-1.md;docs/blog/posts/youtube-flashcards.md;docs/blog/posts/youtube-transcripts.md;docs/cli/batch.md;docs/cli/finetune.md;docs/cli/index.md;docs/cli/usage.md;docs/concepts/alias.md;docs/concepts/caching.md;docs/concepts/distillation.md;docs/concepts/enums.md;docs/concepts/fastapi.md;docs/concepts/fields.md;docs/concepts/hooks.md;docs/concepts/index.md;docs/concepts/lists.md;docs/concepts/logging.md;docs/concepts/maybe.md;docs/concepts/models.md;docs/concepts/multimodal.md;docs/concepts/parallel.md;docs/concepts/partial.md;docs/concepts/patching.md;docs/concepts/philosophy.md;docs/concepts/prompt_caching.md;docs/concepts/prompting.md;docs/concepts/raw_response.md;docs/concepts/reask_validation.md;docs/concepts/retrying.md;docs/concepts/templating.md;docs/concepts/typeadapter.md;docs/concepts/typeddicts.md;docs/concepts/types.md;docs/concepts/union.md;docs/concepts/usage.md;docs/contributing.md;docs/examples/batch_job_oai.md;docs/examples/bulk_classification.md;docs/examples/classification.md;docs/examples/document_segmentation.md;docs/examples/entity_resolution.md;docs/examples/exact_citations.md;docs/examples/examples.md;docs/examples/extract_slides.md;docs/examples/extracting_receipts.md;docs/examples/extracting_tables.md;docs/examples/groq.md;docs/examples/image_to_ad_copy.md;docs/examples/index.md;docs/examples/knowledge_graph.md;docs/examples/local_classification.md;docs/examples/mistral.md;docs/examples/moderation.md;docs/examples/multi_modal_gemini.md;docs/examples/ollama.md;docs/examples/open_source.md;docs/examples/pii.md;docs/examples/planning-tasks.md;docs/examples/search.md;docs/examples/self_critique.md;docs/examples/sqlmodel.md;docs/examples/watsonx.md;docs/help.md;docs/hooks/hide_lines.py;docs/hub/action_items.md;docs/hub/anthropic.md;docs/hub/batch_classification_langsmith.md;docs/hub/cohere.md;docs/hub/extract_contact_info.md;docs/hub/groq.md;docs/hub/index.md;docs/hub/knowledge_graph.md;docs/hub/multiple_classification.md;docs/hub/pandas_df.md;docs/hub/partial_streaming.md;docs/hub/single_classification.md;docs/hub/tables_from_vision.md;docs/hub/youtube_clips.md;docs/index.md;docs/installation.md;docs/newsletter.md;docs/prompting/decomposition/program_of_thought.md;docs/prompting/ensembling/meta_cot.md;docs/prompting/ensembling/self_consistency.md;docs/prompting/ensembling/universal_self_consistency.md;docs/prompting/few_shot/example_generation/sg_icl.md;docs/prompting/few_shot/exemplar_selection/knn.md;docs/prompting/index.md;docs/prompting/self_criticism/reversecot.md;docs/prompting/thought_generation/chain_of_thought_few_shot/complexity_based.md;docs/prompting/thought_generation/chain_of_thought_few_shot/uncertainty_routed_cot.md;docs/prompting/thought_generation/chain_of_thought_zero_shot/analogical_prompting.md;docs/prompting/zero_shot/simtom.md;docs/prompting/zero_shot/style_prompting.md;docs/tutorials/index.md;docs/why.md;examples/youtube-flashcards/run.py;instructor/__init__.py;instructor/batch.py;instructor/cli/batch.py;instructor/cli/cli.py;instructor/client.py;instructor/client_cohere.py;instructor/client_fireworks.py;instructor/dsl/iterable.py;instructor/dsl/partial.py;instructor/exceptions.py;instructor/function_calls.py;instructor/hooks.py;instructor/mode.py;instructor/patch.py;instructor/process_response.py;instructor/reask.py;instructor/retry.py;instructor/templating.py;instructor/utils.py;make_desc.py;mkdocs.yml;poetry.lock;pyproject.toml;tests/dsl/test_partial.py;tests/llm/test_cohere/test_json_schema.py;tests/llm/test_fireworks/__init__.py;tests/llm/test_fireworks/test_format.py;tests/llm/test_fireworks/test_simple.py;tests/llm/test_fireworks/test_stream.py;tests/llm/test_fireworks/util.py;tests/llm/test_openai/docs/test_concepts.py;tests/llm/test_openai/docs/test_docs.py;tests/llm/test_openai/docs/test_examples.py;tests/llm/test_openai/docs/test_prompt_tips.py;tests/llm/test_openai/test_hooks.py;tests/test_formatting.py
