owner,repo_name,url,state,stars,label1,label2,label3,label4
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/692,MERGED,126,perf,,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30611,MERGED,32708,fix,style,,
devondragon,SpringUserFramework,https://github.com/devondragon/SpringUserFramework/pull/163,MERGED,152,docs,style,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30624,MERGED,32708,fix,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/597,MERGED,126,fix,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/107,MERGED,29,refactor,test,docs,style
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30676,MERGED,32708,fix,style,,
mc-bench,mc-bench-frontend,https://github.com/mc-bench/mc-bench-frontend/pull/112,MERGED,16,style,fix,refactor,feat
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/648,MERGED,126,fix,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/787,MERGED,126,fix,,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30708,MERGED,32708,fix,style,,
alexei-led,aws-mcp-server,https://github.com/alexei-led/aws-mcp-server/pull/4,MERGED,121,build,style,test,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30608,MERGED,32708,fix,,,
Nayshins,ummon,https://github.com/Nayshins/ummon/pull/32,MERGED,25,perf,feat,perf,style
dominikszopa,fundraising-website,https://github.com/dominikszopa/fundraising-website/pull/86,MERGED,16,feat,,,
567-labs,instructor,https://github.com/567-labs/instructor/pull/1399,MERGED,10691,docs,,,
mattgodbolt,jsbeeb,https://github.com/mattgodbolt/jsbeeb/pull/483,MERGED,363,refactor,feat,docs,test
thefrontside,effection,https://github.com/thefrontside/effection/pull/992,MERGED,705,docs,,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30464,MERGED,32708,refactor,style,feat,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/116,MERGED,29,refactor,docs,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/697,MERGED,126,refactor,fix,,
artsy,eigen,https://github.com/artsy/eigen/pull/11672,MERGED,3667,refactor,,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30601,MERGED,32708,refactor,perf,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/99,MERGED,29,fix,refactor,,
waldzellai,waldzell-mcp,https://github.com/waldzellai/waldzell-mcp/pull/27,MERGED,109,build,,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30607,MERGED,32708,fix,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/567,MERGED,126,docs,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/562,MERGED,126,feat,refactor,style,
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/421,MERGED,1223,docs,build,,
MinBZK,poc-machine-law,https://github.com/MinBZK/poc-machine-law/pull/37,MERGED,18,refactor,feat,,
shandley,awesome-virome,https://github.com/shandley/awesome-virome/pull/45,MERGED,36,ci,,,
proboscis,pinjected,https://github.com/proboscis/pinjected/pull/84,MERGED,14,refactor,test,docs,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/722,MERGED,126,feat,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/789,MERGED,126,refactor,,,
llun,feeds,https://github.com/llun/feeds/pull/499,MERGED,39,feat,refactor,,
Tiberriver256,mcp-server-azure-devops,https://github.com/Tiberriver256/mcp-server-azure-devops/pull/168,MERGED,229,feat,docs,test,
brentyi,tyro,https://github.com/brentyi/tyro/pull/270,MERGED,646,refactor,fix,,
qltysh,qlty,https://github.com/qltysh/qlty/pull/1964,MERGED,2655,refactor,,,
rishikanthc,Scriberr,https://github.com/rishikanthc/Scriberr/pull/75,MERGED,868,fix,feat,build,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/724,MERGED,126,docs,build,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/667,MERGED,126,refactor,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/650,MERGED,126,fix,,,
tomakado,dumbql,https://github.com/tomakado/dumbql/pull/17,MERGED,46,test,,,
mainframecomputer,orchestra,https://github.com/mainframecomputer/orchestra/pull/54,MERGED,677,feat,docs,,
defog-ai,introspect,https://github.com/defog-ai/introspect/pull/431,MERGED,322,feat,fix,,
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/20,MERGED,20,fix,,,
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/12,MERGED,128,ci,,,
