PRs Information,,,,,
owner,repo_name,url,pull_number,state,Final Label
oven-sh,bun,https://github.com/oven-sh/bun/pull/19055,19055,CLOSED,Unknown (No feedback provided)
oven-sh,bun,https://github.com/oven-sh/bun/pull/19056,19056,CLOSED,Unknown (No feedback provided)
oven-sh,bun,https://github.com/oven-sh/bun/pull/17780,17780,CLOSED,Unknown (No feedback provided)
metabase,metabase,https://github.com/metabase/metabase/pull/56589,56589,CLOSED,Unknown (No feedback provided)
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30890,30890,CLOSED,Do not add value 
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30528,30528,CLOSED,Are too large
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30593,30593,CLOSED,Are implementated by other PRs/developers
openai,codex,https://github.com/openai/codex/pull/612,612,CLOSED,Introduce merge conflicts
beekeeper-studio,beekeeper-studio,https://github.com/beekeeper-studio/beekeeper-studio/pull/2962,2962,CLOSED,No Confidence in AI-Generated Code
beekeeper-studio,beekeeper-studio,https://github.com/beekeeper-studio/beekeeper-studio/pull/2961,2961,CLOSED,Unknown (No feedback provided)
anthropics,anthropic-cookbook,https://github.com/anthropics/anthropic-cookbook/pull/147,147,CLOSED,Unknown (No feedback provided)
anthropics,anthropic-cookbook,https://github.com/anthropics/anthropic-cookbook/pull/145,145,CLOSED,Unknown (No feedback provided)
Wan-Video,Wan2.1,https://github.com/Wan-Video/Wan2.1/pull/108,108,CLOSED,Unknown (No feedback provided)
567-labs,instructor,https://github.com/567-labs/instructor/pull/1492,1492,CLOSED,Unknown (No feedback provided)
567-labs,instructor,https://github.com/567-labs/instructor/pull/1493,1493,CLOSED,Unknown (No feedback provided)
567-labs,instructor,https://github.com/567-labs/instructor/pull/1491,1491,CLOSED,Unknown (No feedback provided)
567-labs,instructor,https://github.com/567-labs/instructor/pull/1401,1401,CLOSED,Unknown (No feedback provided)
567-labs,instructor,https://github.com/567-labs/instructor/pull/1371,1371,CLOSED,Unknown (No feedback provided)
coder,coder,https://github.com/coder/coder/pull/17592,17592,CLOSED,Unknown (No feedback provided)
coder,coder,https://github.com/coder/coder/pull/17370,17370,CLOSED,Are implementated by other PRs/developers
coder,coder,https://github.com/coder/coder/pull/17522,17522,CLOSED,Are implementated by other PRs/developers
coder,coder,https://github.com/coder/coder/pull/16917,16917,CLOSED,Unknown (No feedback provided)
coder,coder,https://github.com/coder/coder/pull/16938,16938,CLOSED,Unknown (No feedback provided)
coder,coder,https://github.com/coder/coder/pull/17317,17317,CLOSED,Are implementated by other PRs/developers
coder,coder,https://github.com/coder/coder/pull/17038,17038,CLOSED,Unknown (No feedback provided)
coder,coder,https://github.com/coder/coder/pull/16909,16909,CLOSED,Unknown (No feedback provided)
coder,coder,https://github.com/coder/coder/pull/16910,16910,CLOSED,Unknown (No feedback provided)
coder,coder,https://github.com/coder/coder/pull/17003,17003,CLOSED,Unknown (No feedback provided)
coder,coder,https://github.com/coder/coder/pull/16975,16975,CLOSED,Unknown (No feedback provided)
coder,coder,https://github.com/coder/coder/pull/16906,16906,CLOSED,Unknown (No feedback provided)
coder,coder,https://github.com/coder/coder/pull/16940,16940,CLOSED,Submission for Verification
coder,coder,https://github.com/coder/coder/pull/16936,16936,CLOSED,Unknown (No feedback provided)
coder,coder,https://github.com/coder/coder/pull/16834,16834,CLOSED,Contain choices of non-optimal design solutions
coder,coder,https://github.com/coder/coder/pull/16907,16907,CLOSED,Unknown (No feedback provided)
coder,coder,https://github.com/coder/coder/pull/16901,16901,CLOSED,Submission for Verification
coder,coder,https://github.com/coder/coder/pull/16864,16864,CLOSED,Unknown (No feedback provided)
SoftFever,OrcaSlicer,https://github.com/SoftFever/OrcaSlicer/pull/8624,8624,CLOSED,Submission for Verification
cloudflare,workerd,https://github.com/cloudflare/workerd/pull/3842,3842,CLOSED,Are obsolete
julep-ai,julep,https://github.com/julep-ai/julep/pull/1276,1276,CLOSED,Are implementated by other PRs/developers
zenml-io,zenml,https://github.com/zenml-io/zenml/pull/3375,3375,CLOSED,Contain choices of non-optimal design solutions
sourcegraph,cody,https://github.com/sourcegraph/cody/pull/7411,7411,CLOSED,Unknown (No feedback provided)
solvespace,solvespace,https://github.com/solvespace/solvespace/pull/1553,1553,CLOSED,Are too large
