owner,repo_name,pull_number,url,commit_sha,commit_message,commit_date,pushed_date,changed_files,total_additions,total_deletions,state,Is_first_commit,pr_create_date,pr_created_date
giselles-ai,giselle,789,https://github.com/giselles-ai/giselle/pull/789,a8f5d99,"Add SWR dependency for data fetching

Added SWR to the codebase to enable more efficient data fetching
with built-in caching, revalidation, and error handling.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-30T12:36:12Z,2025-04-30T12:36:30Z,"packages/giselle-engine/package.json,pnpm-lock.yaml,pnpm-workspace.yaml",18,11,MERGED,True,,2025-04-30T12:36:52Z
giselles-ai,giselle,789,https://github.com/giselles-ai/giselle/pull/789,028c2a7,"Refactor node generation fetching with SWR

Replaced custom fetching implementation with SWR for better data management:
- Moved node generation fetching logic from context to hook
- Added SWR for more efficient data fetching and caching
- Exposed setGenerations in context for better state management
- Updated types to support the new implementation

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-30T12:36:30Z,2025-04-30T12:36:30Z,"packages/giselle-engine/src/react/generations/contexts/generation-runner-system.tsx,packages/giselle-engine/src/react/generations/hooks/use-node-generations.ts",44,41,MERGED,True,,2025-04-30T12:36:52Z
making,yavi,463,https://github.com/making/yavi/pull/463,f6c7487,"Enhance ConstraintViolation with JavaDoc and add MessageFormatter parameter

- Added comprehensive JavaDoc documentation to the ConstraintViolation class
- Added message(MessageFormatter) method to allow runtime formatter switching
- Added detail(MessageFormatter) method to customize violation details
- Applied spring-javaformat for consistent code style
- Improved code documentation with examples and detailed explanations
- New methods marked with @since 0.16.0 tag

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-27T10:05:35Z,2025-04-27T10:05:35Z,src/main/java/am/ik/yavi/core/ConstraintViolation.java,252,20,MERGED,True,,2025-04-27T10:06:49Z
Tiberriver256,mcp-server-azure-devops,181,https://github.com/Tiberriver256/mcp-server-azure-devops/pull/181,4a9af76,"feat(pull-requests): implement list-pull-requests functionality

- Added list-pull-requests feature to retrieve pull requests from a repository
- Added supporting documentation in /docs/tools
- Fixed schema types and server integration
- Added unit and integration tests

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-23T07:53:22Z,2025-04-23T07:53:22Z,"README.md,docs/tools/README.md,docs/tools/core-navigation.md,docs/tools/pull-requests.md,src/features/pull-requests/index.ts,src/features/pull-requests/list-pull-requests/feature.spec.int.ts,src/features/pull-requests/list-pull-requests/feature.spec.unit.ts,src/features/pull-requests/list-pull-requests/feature.ts,src/features/pull-requests/list-pull-requests/index.ts,src/features/pull-requests/list-pull-requests/schema.ts,src/features/pull-requests/schemas.ts,src/features/pull-requests/types.ts,src/server.ts",835,6,MERGED,True,,2025-04-23T07:56:17Z
Tiberriver256,mcp-server-azure-devops,181,https://github.com/Tiberriver256/mcp-server-azure-devops/pull/181,98077fb,fix(pull-requests): update repository name environment variable,2025-04-23T12:28:47Z,2025-04-23T12:28:47Z,src/features/pull-requests/list-pull-requests/feature.spec.int.ts,1,1,MERGED,False,,2025-04-23T07:56:17Z
honeycombio,honeycomb-mcp,61,https://github.com/honeycombio/honeycomb-mcp/pull/61,7a047c1,chore: update zod dependency and add utility constants,2025-04-25T20:33:56Z,2025-04-25T20:36:16Z,"package.json,src/utils/constants.ts",29,1,MERGED,True,,2025-04-25T20:34:29Z
honeycombio,honeycomb-mcp,61,https://github.com/honeycombio/honeycomb-mcp/pull/61,28c7bff,chore: update lockfile for zod dependency,2025-04-25T20:36:16Z,2025-04-25T20:36:16Z,pnpm-lock.yaml,12,12,MERGED,False,,2025-04-25T20:34:29Z
alexei-led,k8s-mcp-server,4,https://github.com/alexei-led/k8s-mcp-server/pull/4,b6a44f3,"Reorganize documentation into structured docs directory

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-29T08:37:11Z,2025-04-29T08:37:37Z,"docs/architecture.md,docs/claude-integration.md,docs/cloud-providers.md,docs/environment-variables.md,docs/getting-started.md,docs/security.md,docs/spec.md,docs/supported-tools.md",1105,2,MERGED,True,,2025-04-29T08:39:59Z
alexei-led,k8s-mcp-server,4,https://github.com/alexei-led/k8s-mcp-server/pull/4,625e584,"Update project configuration and metadata

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-29T08:37:25Z,2025-04-29T08:37:37Z,"Makefile,pyproject.toml,src/k8s_mcp_server/__init__.py",3,3,MERGED,True,,2025-04-29T08:39:59Z
alexei-led,k8s-mcp-server,4,https://github.com/alexei-led/k8s-mcp-server/pull/4,6699500,"Update Docker configuration and README for cloud provider authentication

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",2025-04-29T08:37:37Z,2025-04-29T08:37:37Z,"README.md,deploy/docker/Dockerfile,deploy/docker/docker-compose.yml",215,899,MERGED,True,,2025-04-29T08:39:59Z
