owner,repo_name,url,state,stars
llun,feeds,https://github.com/llun/feeds/pull/498,MERGED,39
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/11,MERGED,29
synapsecns,sanguine,https://github.com/synapsecns/sanguine/pull/2600,MERGED,49
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/64,MERGED,77
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/26,MERGED,29
coder,packages,https://github.com/coder/packages/pull/163,MERGED,29
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/270,MERGED,126
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/23,MERGED,29
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30060,MERGED,32708
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/129,MERGED,126
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/42,MERGED,29
mc-bench,mc-bench-frontend,https://github.com/mc-bench/mc-bench-frontend/pull/33,MERGED,16
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/28,MERGED,23
brentyi,jaxls,https://github.com/brentyi/jaxls/pull/17,MERGED,209
ApeWorX,ape,https://github.com/ApeWorX/ape/pull/2534,MERGED,968
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/26997,MERGED,32708
beatrix-ha,beatrix,https://github.com/beatrix-ha/beatrix/pull/31,MERGED,72
OpenPipe,ART,https://github.com/OpenPipe/ART/pull/52,MERGED,656
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/520,MERGED,250
geneontology,go-ontology,https://github.com/geneontology/go-ontology/pull/30119,MERGED,234
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/161,MERGED,126
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/309,MERGED,126
grapeot,web_agentic_ai,https://github.com/grapeot/web_agentic_ai/pull/4,MERGED,30
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/583,MERGED,126
coder,coder,https://github.com/coder/coder/pull/13685,MERGED,9997
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/292,MERGED,126
bcpeinhardt,learn_otp_with_gleam,https://github.com/bcpeinhardt/learn_otp_with_gleam/pull/1,MERGED,352
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/228,MERGED,1223
mc-bench,mc-bench-backend,https://github.com/mc-bench/mc-bench-backend/pull/5,MERGED,29
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30651,MERGED,32708
