owner,repo_name,pull_number,url,state,initial_commit,initial_total_additions,initial_total_deletions,initial_change_lines,initial_file_change,text
84codes,crystal-packages,30,https://github.com/84codes/crystal-packages/pull/30,MERGED,1,49,20,69,2,"Extract 'Upload to Packagecloud' step to reusable script

Create a unified script for uploading packages to Packagecloud from all
jobs in the workflow, removing duplication and making future maintenance easier.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
C-Loftus,talon-ai-tools,173,https://github.com/C-Loftus/talon-ai-tools/pull/173,MERGED,1,32,9,41,2,"Fix Cursorless integration with AI model commands

This fixes an issue with the cursorless commands not working properly due to changes in function return types. The fix:
1. Adds a dedicated gpt_apply_prompt_for_cursorless function for Cursorless integration
2. Updates gpt_push_context and gpt_push_thread to handle both string and list inputs
3. Updates all Cursorless commands to use cursorless_get_text_list consistently
4. Fixes command format by removing unnecessary apostrophe

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
INCATools,ontology-access-kit,832,https://github.com/INCATools/ontology-access-kit/pull/832,MERGED,1,211,0,211,2,"Added enrichment guide page to OAK documentation

This commit adds a comprehensive guide on Enrichment/Over-Representation Analysis
to the OAK documentation. The guide covers:
- Statistical methods and concepts for enrichment analysis
- How predicates affect enrichment calculation during roll-up
- Using the command line for enrichment analysis
- Using the Python API for programmatic enrichment analysis
- Redundancy filtering and results interpretation

The guide is linked to the main guide index and includes references to
related guide sections on associations and ontology graphs.

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
MaiM-with-u,MaiBot,495,https://github.com/MaiM-with-u/MaiBot/pull/495,MERGED,2,3164,2787,5951,53,"修复异常处理链：在except块中使用from语法保留原始异常

- 使用`raise ... from e`语法保留异常链
- 确保异常追踪包含原始错误信息
- 符合Ruff B904规则要求

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>
优化代码格式和异常处理

- 修复异常处理链，使用from语法保留原始异常
- 格式化代码以符合项目规范
- 优化导入模块的顺序

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
MinBZK,poc-machine-law,33,https://github.com/MinBZK/poc-machine-law/pull/33,MERGED,1,27,0,27,1,"Update README met complete lijst van geïmplementeerde wetten

Toevoegingen:
- Huurtoeslag
- Participatiewet/Bijstand
- Bestuursrecht (AWB)
- Kieswet
- Diverse overige wetten (o.a. Handelsregisterwet, Vreemdelingenwet)

🤖 Generated with Claude Code
Co-Authored-By: Claude <noreply@anthropic.com>"
MinBZK,poc-machine-law,36,https://github.com/MinBZK/poc-machine-law/pull/36,MERGED,1,289,12,301,6,Nicer form for missing values
MinBZK,poc-machine-law,37,https://github.com/MinBZK/poc-machine-law/pull/37,MERGED,1,188,177,365,12,"Improve sidepanel UX with shared panel, fixed header, and ESC key support

- Convert to single shared sidepanel instead of one per law
- Make header stay fixed when scrolling
- Add ESC key support for closing the panel
- Ensure panel closes after form submission"
MinBZK,poc-machine-law,38,https://github.com/MinBZK/poc-machine-law/pull/38,MERGED,8,304,167,471,6,"Fix edit popup positioning in application panel

- Added higher z-index (z-[100]) to edit modal and container
- Ensures edit popup appears on top of application panel header
- Maintains existing modal styling and functionality

🤖 Generated with Claude Code
Co-Authored-By: Claude <noreply@anthropic.com>
Improve edit form to handle type information from data context

- Pass type details from node context to edit form to better handle specific data types
- Add special handling for eurocent amounts, displaying them as euros with proper formatting
- Enhance empty value handling to use type information when available
- Improve number parsing in form submissions
- Add support for amount type selection when adding new values

🤖 Generated with Claude Code
Co-Authored-By: Claude <noreply@anthropic.com>
Improve rendering of eurocent amounts

- Update render_path.html to display eurocent amounts with euro symbol and decimal formatting
- Fix edit form to properly initialize and display eurocent values
- Add x-init handler to ensure proper display formatting for eurocent values
- Improve code organization and readability

🤖 Generated with Claude Code
Co-Authored-By: Claude <noreply@anthropic.com>
Apply formatting changes from pre-commit hooks
Update CLAUDE.md with Git workflow guidelines
Apply formatting changes from pre-commit hooks (2)
Improve form visual grouping with colored box

- Wrap form elements in a cohesive blue-tinted container
- Add consistent internal borders between form sections
- Enhance visual hierarchy for the application flow
- Improve spacing and structure of the form elements
- Make the form submission process more intuitive

🤖 Generated with Claude Code
Co-Authored-By: Claude <noreply@anthropic.com>
Improve form UX: add autofocus to first field and clickable checkbox

- Add autofocus attribute to the first input field in the ""Benodigde gegevens invullen"" form
- Make the entire declaration box clickable to toggle the checkbox
- Add visual cursor-pointer to make it clear the declaration box is clickable
- Add autofocus to the declaration checkbox when no other forms are present

🤖 Generated with Claude Code
Co-Authored-By: Claude <noreply@anthropic.com>"
MinBZK,poc-machine-law,70,https://github.com/MinBZK/poc-machine-law/pull/70,MERGED,1,6,0,6,1,"feat: add 'In ontwikkeling' banner to website

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
MinBZK,poc-machine-law,75,https://github.com/MinBZK/poc-machine-law/pull/75,MERGED,2,54,6,60,2,"fix copy
Verbeter bijstandstegel van Amsterdam met gedetailleerde specificatie

Deze wijziging voegt een gedetailleerde specificatie toe aan de bijstandstegel van Amsterdam, vergelijkbaar met wat al bestond voor de inkomstenbelastingtegel. De specificatie toont:
- Basisbedrag met kostendelersnorm
- Woonkostentoeslag (indien van toepassing)
- ZZP vrijlating (indien van toepassing)
- Eenmalig bedrijfskapitaal (indien van toepassing)

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
Nayshins,ummon,26,https://github.com/Nayshins/ummon/pull/26,MERGED,1,742,227,969,6,"Enhance SQLite database module for performance & maintainability

- Implement connection pooling with r2d2 & r2d2_sqlite
- Refactor entity serialization using trait methods
- Streamline schema initialization with single transaction
- Add detailed error messages and logging
- Expand test coverage with concurrency and transaction tests

Implements #25

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
Nayshins,ummon,59,https://github.com/Nayshins/ummon/pull/59,MERGED,1,14,2,16,1,"docs: add relevance agent information to README

Update README.md with details about the relevance agent functionality:
- Add as core feature
- Include usage example
- Add to architecture components

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
OpenPipe,ART,10,https://github.com/OpenPipe/ART/pull/10,MERGED,1,23,0,23,1,feat: Add reward standard deviation reporting in unsloth API
PipedreamHQ,pipedream,15814,https://github.com/PipedreamHQ/pipedream/pull/15814,MERGED,1,22,11,33,8,"Fix Confluence cursor handling for pagination

The previous implementation used the full URL link as a cursor value instead of extracting just the cursor parameter. This caused an ""INVALID_REQUEST_PARAMETER"" error when users tried to use ""Load More"" when searching for Space IDs.

- Added a new method _extractCursorFromLink() to extract only the cursor parameter from the URL
- Fixed cursor handling in the paginate method and propDefinitions
- Updated package and component versions

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
Shopify,app_profiler,166,https://github.com/Shopify/app_profiler/pull/166,MERGED,1,34,30,64,5,"Add duration tracking to profile objects

Profiles now track the duration of the block being profiled using Process.clock_gettime.
This allows accessing how long the profiled code took to execute via profile.duration.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
Tiberriver256,mcp-server-azure-devops,168,https://github.com/Tiberriver256/mcp-server-azure-devops/pull/168,MERGED,1,561,2,563,10,"feat(pipelines): implement trigger-pipeline functionality

- Add trigger-pipeline feature to run Azure DevOps pipelines
- Support specifying branch and variables for pipeline runs
- Add comprehensive documentation with examples
- Add unit and integration tests

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
airbytehq,airbyte,55756,https://github.com/airbytehq/airbyte/pull/55756,MERGED,1,8,8,16,2,"Fix reversed assertions in MySQL source tests

- Fixed 5 instances in MySqlSourceCursorBasedIntegrationTest where assertEquals had actual.size as the first parameter
- Fixed 2 instances of reversed assertions in MySqlSourceCdcIntegrationTest
- All assertions now follow assertEquals(expected, actual) pattern

🤖 Generated with [Claude Code](https://claude.ai/code)
Co-Authored-By: Claude <noreply@anthropic.com>"
aklinker1,bunv,17,https://github.com/aklinker1/bunv/pull/17,MERGED,1,4,0,4,1,"feat: Display message when no versions are installed

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>"
