owner,repo_name,pull_number,url,state,revision_commit,revision_total_additions,revision_total_deletions,revision_total_change_lines,revision_file_change,Co-authored commits number,initial_total_additions,initial_total_deletions,initial_change_lines,initial_file_change
567-labs,instructor,1374,https://github.com/567-labs/instructor/pull/1374,MERGED,2,1439,344,1783,8,0,759,50,809,4
567-labs,instructor,1375,https://github.com/567-labs/instructor/pull/1375,MERGED,4,1628,1033,2661,9,0,598,97,695,2
567-labs,instructor,1399,https://github.com/567-labs/instructor/pull/1399,MERGED,2,168,36,204,2,0,170,6,176,3
567-labs,instructor,1479,https://github.com/567-labs/instructor/pull/1479,MERGED,3,61,60,121,1,0,3197,2,3199,19
567-labs,instructor,1490,https://github.com/567-labs/instructor/pull/1490,MERGED,16,1016,525,1541,8,6,783,90,873,16
84codes,crystal-packages,29,https://github.com/84codes/crystal-packages/pull/29,MERGED,4,93,143,236,6,3,0,0,0,0
ApeWorX,ape,2530,https://github.com/ApeWorX/ape/pull/2530,MERGED,16,423,336,759,82,2,0,0,0,0
ComposioHQ,composio,1567,https://github.com/ComposioHQ/composio/pull/1567,MERGED,4,37,15,52,0,0,185,0,185,3
E3SM-Project,e3sm_diags,963,https://github.com/E3SM-Project/e3sm_diags/pull/963,MERGED,2,10,7,17,1,0,37,0,37,7
Erlemar,pytorch_tempest,67,https://github.com/Erlemar/pytorch_tempest/pull/67,MERGED,2,3,2,5,1,2,5,0,5,1
INCATools,ontology-access-kit,831,https://github.com/INCATools/ontology-access-kit/pull/831,MERGED,6,130,101,231,3,3,235,20,255,3
JoshuaC215,agent-service-toolkit,202,https://github.com/JoshuaC215/agent-service-toolkit/pull/202,MERGED,1,15,12,27,2,0,35,2,37,3
MinBZK,poc-machine-law,42,https://github.com/MinBZK/poc-machine-law/pull/42,MERGED,6,175,29,204,4,6,796,84,880,15
Nayshins,ummon,32,https://github.com/Nayshins/ummon/pull/32,MERGED,1,36,54,90,0,0,280,424,704,23
PipedreamHQ,pipedream,15815,https://github.com/PipedreamHQ/pipedream/pull/15815,MERGED,17,1579,727,2306,35,0,644,7,651,11
PipedreamHQ,pipedream,15820,https://github.com/PipedreamHQ/pipedream/pull/15820,MERGED,1,1,1,2,0,0,276,118,394,2
PipedreamHQ,pipedream,15824,https://github.com/PipedreamHQ/pipedream/pull/15824,MERGED,2,11,11,22,8,0,284,23,307,8
PipedreamHQ,pipedream,15825,https://github.com/PipedreamHQ/pipedream/pull/15825,MERGED,3,113,55,168,0,0,113,7,120,4
PipedreamHQ,pipedream,16010,https://github.com/PipedreamHQ/pipedream/pull/16010,MERGED,1,1,3,4,0,0,11,13,24,4
PolicyEngine,policyengine-api,2325,https://github.com/PolicyEngine/policyengine-api/pull/2325,MERGED,1,4,0,4,1,0,1,1,2,1
PolicyEngine,policyengine-app,2373,https://github.com/PolicyEngine/policyengine-app/pull/2373,MERGED,6,56,35,91,3,4,22,0,22,1
Tiberriver256,mcp-server-azure-devops,181,https://github.com/Tiberriver256/mcp-server-azure-devops/pull/181,MERGED,1,1,1,2,0,0,835,6,841,13
aklinker1,bunv,23,https://github.com/aklinker1/bunv/pull/23,MERGED,3,3,2,5,1,0,16,11,27,1
aklinker1,bunv,24,https://github.com/aklinker1/bunv/pull/24,MERGED,1,0,1,1,0,0,4,12,16,4
aleph-im,aleph-vm,783,https://github.com/aleph-im/aleph-vm/pull/783,MERGED,2,17,5,22,2,1,0,0,0,0
aleph-im,aleph-vm,786,https://github.com/aleph-im/aleph-vm/pull/786,MERGED,7,485,293,778,6,5,0,0,0,0
aleph-im,pyaleph,771,https://github.com/aleph-im/pyaleph/pull/771,MERGED,13,317,286,603,36,3,0,0,0,0
alexei-led,aws-mcp-server,4,https://github.com/alexei-led/aws-mcp-server/pull/4,MERGED,9,998,514,1512,19,7,614,226,840,5
alexei-led,aws-mcp-server,10,https://github.com/alexei-led/aws-mcp-server/pull/10,MERGED,1,70,70,140,7,1,99,49,148,5
alexei-led,aws-mcp-server,11,https://github.com/alexei-led/aws-mcp-server/pull/11,MERGED,1,43,37,80,2,0,1999,189,2188,13
alexei-led,k8s-mcp-server,4,https://github.com/alexei-led/k8s-mcp-server/pull/4,MERGED,2,25,15,40,2,1,1323,904,2227,14
allenai,open-instruct,598,https://github.com/allenai/open-instruct/pull/598,MERGED,2,10,4,14,3,0,27,3,30,2
anthropics,devcontainer-features,7,https://github.com/anthropics/devcontainer-features/pull/7,MERGED,9,218,108,326,6,6,8,22,30,2
artsy,eigen,11686,https://github.com/artsy/eigen/pull/11686,MERGED,4,1282,804,2086,86,0,0,0,0,0
artsy,eigen,11709,https://github.com/artsy/eigen/pull/11709,MERGED,6,271,187,458,21,0,19,5,24,3
basicmachines-co,basic-memory,15,https://github.com/basicmachines-co/basic-memory/pull/15,MERGED,1,39,20,59,3,0,2486,1105,3591,39
basicmachines-co,basic-memory,88,https://github.com/basicmachines-co/basic-memory/pull/88,MERGED,6,691,577,1268,24,2,0,0,0,0
bearcove,dylo,13,https://github.com/bearcove/dylo/pull/13,MERGED,2,677,35,712,7,1,0,0,0,0
beekeeper-studio,beekeeper-studio,2860,https://github.com/beekeeper-studio/beekeeper-studio/pull/2860,MERGED,3,97,62,159,0,2,215,21,236,2
blackkittylabs,kittynode,614,https://github.com/blackkittylabs/kittynode/pull/614,MERGED,2,78,14,92,2,1,0,0,0,0
brentyi,jaxls,36,https://github.com/brentyi/jaxls/pull/36,MERGED,13,1007,230,1237,4,2,99,721,820,8
brentyi,tyro,265,https://github.com/brentyi/tyro/pull/265,MERGED,1,24,0,24,1,1,5,5,10,1
brentyi,tyro,266,https://github.com/brentyi/tyro/pull/266,MERGED,5,161,182,343,1,4,601,278,879,7
brentyi,tyro,267,https://github.com/brentyi/tyro/pull/267,MERGED,2,26,7,33,0,0,236,5,241,6
brentyi,tyro,268,https://github.com/brentyi/tyro/pull/268,MERGED,4,59,31,90,5,0,488,216,704,7
brentyi,tyro,269,https://github.com/brentyi/tyro/pull/269,MERGED,2,5,6,11,0,0,31,19,50,3
brentyi,tyro,271,https://github.com/brentyi/tyro/pull/271,MERGED,2,209,207,416,3,0,856,53,909,8
brentyi,tyro,272,https://github.com/brentyi/tyro/pull/272,MERGED,3,236,29,265,2,1,229,14,243,3
brentyi,tyro,274,https://github.com/brentyi/tyro/pull/274,MERGED,3,61,10,71,3,0,0,0,0,0
brentyi,tyro,275,https://github.com/brentyi/tyro/pull/275,MERGED,5,41,26,67,1,1,91,11,102,3
brentyi,tyro,276,https://github.com/brentyi/tyro/pull/276,MERGED,3,17,57,74,1,1,28,13,41,4
brentyi,tyro,280,https://github.com/brentyi/tyro/pull/280,MERGED,3,23,23,46,13,1,19,49,68,9
brentyi,tyro,288,https://github.com/brentyi/tyro/pull/288,MERGED,2,6,9,15,1,2,63,17,80,4
brentyi,tyro,289,https://github.com/brentyi/tyro/pull/289,MERGED,1,19,15,34,1,0,200,0,200,2
brentyi,tyro,290,https://github.com/brentyi/tyro/pull/290,MERGED,3,209,5,214,1,0,50,234,284,8
brentyi,tyro,291,https://github.com/brentyi/tyro/pull/291,MERGED,4,16,15,31,0,0,503,14,517,5
cmackenzie1,torii-rs,32,https://github.com/cmackenzie1/torii-rs/pull/32,MERGED,2,18,73,91,1,0,881,371,1252,5
coder,coder,16879,https://github.com/coder/coder/pull/16879,MERGED,5,60,33,93,0,0,8,4,12,1
coder,coder,17035,https://github.com/coder/coder/pull/17035,MERGED,42,8223,8104,16327,213,12,0,0,0,0
coder,coder,17081,https://github.com/coder/coder/pull/17081,MERGED,1,2,9,11,3,1,5,5,10,5
coder,coder,17132,https://github.com/coder/coder/pull/17132,MERGED,5,220,147,367,3,0,0,0,0,0
coder,coder,17161,https://github.com/coder/coder/pull/17161,MERGED,1,6,6,12,0,0,6,6,12,1
