owner,repo_name,pull_number,url,state,initial_commit,initial_total_additions,initial_total_deletions,initial_change_lines,initial_file_change,text
567-labs,instructor,1407,https://github.com/567-labs/instructor/pull/1407,MERGED,2,148,7,155,2,"feat: add citation information to README and docs

Added BibTeX citation format for academic references. Added citation section to both README.md and docs/index.md. Consistent citation format across documentation.
docs: enhance contributing guidelines in README

Expanded the contributing section to include detailed setup instructions for the development environment, testing procedures, and code quality requirements. Updated formatting and linting tools information, and clarified the pull request process."
84codes,crystal-packages,22,https://github.com/84codes/crystal-packages/pull/22,MERGED,1,1,1,2,1,add yaml-static as depdency for alpine image
ApeWorX,ape,2122,https://github.com/ApeWorX/ape/pull/2122,MERGED,1,2,0,2,1,fix: eip-712 hex data display
C-Loftus,talon-ai-tools,181,https://github.com/C-Loftus/talon-ai-tools/pull/181,MERGED,1,18,18,36,6,"Use ""modelThread"" instead of ""thread"" to avoid future name collisions."
ComposioHQ,composio,1540,https://github.com/ComposioHQ/composio/pull/1540,MERGED,1,2,2,4,1,Update quickstart.mdx
E3SM-Project,e3sm_diags,830,https://github.com/E3SM-Project/e3sm_diags/pull/830,MERGED,2,15,5,20,2,"updateAODVIS obs in annual_cycle_zonal_mean
fix_iss_810"
INCATools,ontology-access-kit,817,https://github.com/INCATools/ontology-access-kit/pull/817,MERGED,1,9,0,9,1,Adding step to build pandoc for sphinx docs
JoshuaC215,agent-service-toolkit,68,https://github.com/JoshuaC215/agent-service-toolkit/pull/68,MERGED,1,3,3,6,1,Fix bug where only one parallel tool call returned
MaiM-with-u,MaiBot,194,https://github.com/MaiM-with-u/MaiBot/pull/194,MERGED,1,33,29,62,4,fix: 统一使用os.getenv获取数据库连接信息，避免从config对象获取不存在的值时出现KeyError
MinBZK,poc-machine-law,14,https://github.com/MinBZK/poc-machine-law/pull/14,MERGED,1,504,99,603,14,Explanations
MinBZK,poc-machine-law,19,https://github.com/MinBZK/poc-machine-law/pull/19,MERGED,3,284,119,403,9,"show tree
split explanations
Working tree
add title"
MinBZK,poc-machine-law,25,https://github.com/MinBZK/poc-machine-law/pull/25,MERGED,1,214,202,416,1,Add button the request if there requirements aren't met
MinBZK,poc-machine-law,30,https://github.com/MinBZK/poc-machine-law/pull/30,MERGED,1,59,2,61,2,Adds editing feature
MinBZK,poc-machine-law,80,https://github.com/MinBZK/poc-machine-law/pull/80,MERGED,1,153,20,173,14,Sort laws by impact
Nayshins,ummon,44,https://github.com/Nayshins/ummon/pull/44,MERGED,1,17,3329,3346,18,"Remove MCP code and associated functions

This was getting ahead of itself, and now going to wait for an
officially supported rust mcp crate"
Nayshins,ummon,58,https://github.com/Nayshins/ummon/pull/58,MERGED,1,576,35,611,7,"Implement knowledge graph update mechanisms (#49)

This commit enhances the knowledge graph update process with:

- Metadata table to track file indexing timestamps
- Support for incremental updates based on file modification times
- Ability to fully rebuild the graph with --full flag
- Pruning methods to selectively update only modified files
- Updated documentation for the new features"
OpenAdaptAI,OpenAdapt,680,https://github.com/OpenAdaptAI/OpenAdapt/pull/680,MERGED,1,1,0,1,1,add hidden import replicate
PipedreamHQ,pipedream,15063,https://github.com/PipedreamHQ/pipedream/pull/15063,MERGED,2,40,11,51,3,"Adding Gmail List Labels action
Update pnpm-lock.yaml"
PipedreamHQ,pipedream,16157,https://github.com/PipedreamHQ/pipedream/pull/16157,MERGED,5,136,49,185,29,"Adding limits and fixing the state prop
version bumps
Bumping linear versions too
Bumping linear versions too
Update pnpm-lock.yaml"
PipedreamHQ,pipedream,16397,https://github.com/PipedreamHQ/pipedream/pull/16397,MERGED,2,29,19,48,3,"Small patch to connect triggers docs
Update pnpm-lock.yaml"
Shopify,app_profiler,167,https://github.com/Shopify/app_profiler/pull/167,MERGED,1,6,2,8,3,Release 0.4.0
airbytehq,airbyte,56401,https://github.com/airbytehq/airbyte/pull/56401,MERGED,1,25,16,41,5,[source mssql] Fix non-unique value clustered index issue
aklinker1,bunv,1,https://github.com/aklinker1/bunv/pull/1,MERGED,1,304,305,609,6,chore: Refactor file structure
aklinker1,bunv,4,https://github.com/aklinker1/bunv/pull/4,MERGED,11,108,62,170,2,"fix workflow??
Add setup action
Remove windows
Upload artifacts
Simplify build step
zip
adjust zip
comment for testing
Add release steps
Cleanupg
cleanup"
aklinker1,bunv,9,https://github.com/aklinker1/bunv/pull/9,MERGED,5,20,25,45,1,"Debug
Don't staple?
Don't notarize?
Add notarize back
Cleanup"
aklinker1,bunv,25,https://github.com/aklinker1/bunv/pull/25,MERGED,1,4,1,5,1,fix: Ignore making config directory if it already exists
aleph-im,aleph-vm,754,https://github.com/aleph-im/aleph-vm/pull/754,MERGED,1,18,0,18,1,Feature: Create Ubuntu 24.04 QEMU runtime
