owner,repo_name,pull_number,url,state,revision_commit,revision_total_additions,revision_total_deletions,revision_total_change_lines,revision_file_change,Co-authored commits number,initial_total_additions,initial_total_deletions,initial_change_lines,initial_file_change
567-labs,instructor,831,https://github.com/567-labs/instructor/pull/831,MERGED,4,567,187,754,4,0,0,0,0,0
567-labs,instructor,1030,https://github.com/567-labs/instructor/pull/1030,MERGED,5,205,201,406,3,0,47,83,130,2
567-labs,instructor,1095,https://github.com/567-labs/instructor/pull/1095,MERGED,14,372,388,760,4,0,184,9,193,7
567-labs,instructor,1369,https://github.com/567-labs/instructor/pull/1369,MERGED,5,8779,7382,16161,130,0,2880,486,3366,24
567-labs,instructor,1378,https://github.com/567-labs/instructor/pull/1378,MERGED,5,215,511,726,0,0,1013,85,1098,12
567-labs,instructor,1430,https://github.com/567-labs/instructor/pull/1430,MERGED,3,70,66,136,0,0,111,0,111,1
84codes,crystal-packages,25,https://github.com/84codes/crystal-packages/pull/25,MERGED,1,3,10,13,0,0,21,26,47,2
ApeWorX,ape,2534,https://github.com/ApeWorX/ape/pull/2534,MERGED,9,489,148,637,11,3,0,0,0,0
Erlemar,pytorch_tempest,66,https://github.com/Erlemar/pytorch_tempest/pull/66,MERGED,1,6,4,10,2,0,23,2,25,4
INCATools,ontology-access-kit,749,https://github.com/INCATools/ontology-access-kit/pull/749,MERGED,1,4,4,8,0,0,317,0,317,3
MaiM-with-u,MaiBot,174,https://github.com/MaiM-with-u/MaiBot/pull/174,MERGED,1,284,198,482,20,0,1,1,2,1
MinBZK,poc-machine-law,18,https://github.com/MinBZK/poc-machine-law/pull/18,MERGED,3,436,204,640,3,0,338,4,342,7
Nayshins,ummon,48,https://github.com/Nayshins/ummon/pull/48,MERGED,1,2,54,56,2,0,108,325,433,2
OpenPipe,ART,44,https://github.com/OpenPipe/ART/pull/44,MERGED,1,5,0,5,1,0,39,4,43,4
OpenPipe,ART,52,https://github.com/OpenPipe/ART/pull/52,MERGED,10,4081,4004,8085,19,0,0,0,0,0
PipedreamHQ,pipedream,12212,https://github.com/PipedreamHQ/pipedream/pull/12212,MERGED,11,85,147,232,8,0,56,0,56,2
PipedreamHQ,pipedream,13882,https://github.com/PipedreamHQ/pipedream/pull/13882,MERGED,2,4,4,8,0,0,60,24,84,4
PipedreamHQ,pipedream,13891,https://github.com/PipedreamHQ/pipedream/pull/13891,MERGED,1,2,2,4,0,0,2,10,12,2
PolicyEngine,policyengine-app,1967,https://github.com/PolicyEngine/policyengine-app/pull/1967,MERGED,1,2,3,5,0,0,53,0,53,3
SoftFever,OrcaSlicer,6554,https://github.com/SoftFever/OrcaSlicer/pull/6554,MERGED,1,1,1,2,0,0,287,6,293,20
SpinaCMS,Spina,1400,https://github.com/SpinaCMS/Spina/pull/1400,MERGED,4,15,17,32,3,0,254,208,462,7
Tiberriver256,mcp-server-azure-devops,161,https://github.com/Tiberriver256/mcp-server-azure-devops/pull/161,MERGED,4,30,103,133,0,0,391,10,401,10
Tiberriver256,mcp-server-azure-devops,166,https://github.com/Tiberriver256/mcp-server-azure-devops/pull/166,MERGED,2,154,14,168,3,0,352,1,353,8
Wan-Video,Wan2.1,44,https://github.com/Wan-Video/Wan2.1/pull/44,MERGED,1,0,1,1,0,0,2,0,2,1
aklinker1,bunv,2,https://github.com/aklinker1/bunv/pull/2,MERGED,2,3,5,8,0,0,44,21,65,1
aklinker1,bunv,3,https://github.com/aklinker1/bunv/pull/3,MERGED,1,3,1,4,0,0,29,0,29,2
aklinker1,bunv,10,https://github.com/aklinker1/bunv/pull/10,MERGED,6,38,11,49,2,0,14,1,15,1
aleph-im,aleph-vm,680,https://github.com/aleph-im/aleph-vm/pull/680,MERGED,3,18,6,24,1,0,2,17,19,2
aleph-im,pyaleph,599,https://github.com/aleph-im/pyaleph/pull/599,MERGED,1,10,5,15,1,0,5,1,6,1
alexei-led,aws-mcp-server,8,https://github.com/alexei-led/aws-mcp-server/pull/8,MERGED,3,289,29,318,0,1,2489,591,3080,18
alexei-led,k8s-mcp-server,2,https://github.com/alexei-led/k8s-mcp-server/pull/2,MERGED,6,64,68,132,2,0,406,62,468,4
alexfedosov,move-tool,3,https://github.com/alexfedosov/move-tool/pull/3,MERGED,3,124,133,257,4,0,552,0,552,10
allenai,open-instruct,422,https://github.com/allenai/open-instruct/pull/422,MERGED,1,5,5,10,0,0,17,6,23,2
anthropics,devcontainer-features,4,https://github.com/anthropics/devcontainer-features/pull/4,MERGED,1,3,0,3,0,0,7,8,15,1
artsy,eigen,10595,https://github.com/artsy/eigen/pull/10595,MERGED,1,6,3,9,0,0,86,5,91,4
artsy,eigen,11810,https://github.com/artsy/eigen/pull/11810,MERGED,1,21,0,21,1,0,18,5,23,2
artsy,force,14112,https://github.com/artsy/force/pull/14112,MERGED,5,96,93,189,11,0,0,0,0,0
basicmachines-co,basic-memory,6,https://github.com/basicmachines-co/basic-memory/pull/6,MERGED,1,81,77,158,0,0,393,354,747,13
beekeeper-studio,beekeeper-studio,2361,https://github.com/beekeeper-studio/beekeeper-studio/pull/2361,MERGED,3,436,122,558,40,0,47,64,111,3
beekeeper-studio,beekeeper-studio,2803,https://github.com/beekeeper-studio/beekeeper-studio/pull/2803,MERGED,7,164,116,280,6,0,512,484,996,15
beekeeper-studio,beekeeper-studio,2853,https://github.com/beekeeper-studio/beekeeper-studio/pull/2853,MERGED,12,209,97,306,9,1,6,2,8,2
brentyi,jaxls,17,https://github.com/brentyi/jaxls/pull/17,MERGED,4,174,38,212,3,0,0,0,0,0
brentyi,tyro,182,https://github.com/brentyi/tyro/pull/182,MERGED,7,82,82,164,1,0,457,254,711,10
brentyi,tyro,187,https://github.com/brentyi/tyro/pull/187,MERGED,2,8,2,10,0,0,59,1,60,3
brentyi,tyro,189,https://github.com/brentyi/tyro/pull/189,MERGED,12,815,564,1379,12,0,1043,1024,2067,22
brentyi,tyro,194,https://github.com/brentyi/tyro/pull/194,MERGED,2,331,1,332,4,0,462,622,1084,33
brentyi,tyro,199,https://github.com/brentyi/tyro/pull/199,MERGED,1,10,10,20,0,0,204,183,387,28
brentyi,tyro,201,https://github.com/brentyi/tyro/pull/201,MERGED,4,71,69,140,2,0,641,182,823,22
brentyi,tyro,208,https://github.com/brentyi/tyro/pull/208,MERGED,1,10,6,16,2,0,61,39,100,6
brentyi,tyro,211,https://github.com/brentyi/tyro/pull/211,MERGED,3,132,144,276,7,0,25,24,49,3
brentyi,tyro,217,https://github.com/brentyi/tyro/pull/217,MERGED,1,2,2,4,0,0,42,21,63,5
brentyi,tyro,219,https://github.com/brentyi/tyro/pull/219,MERGED,1,12,4,16,2,0,126,41,167,10
brentyi,tyro,225,https://github.com/brentyi/tyro/pull/225,MERGED,2,2,2,4,0,0,38,22,60,1
brentyi,tyro,246,https://github.com/brentyi/tyro/pull/246,MERGED,6,66,30,96,4,0,57,7,64,4
brentyi,tyro,255,https://github.com/brentyi/tyro/pull/255,MERGED,2,15,0,15,1,0,5,2,7,1
brentyi,tyro,256,https://github.com/brentyi/tyro/pull/256,MERGED,3,40,11,51,2,0,46,8,54,2
coder,coder,13685,https://github.com/coder/coder/pull/13685,MERGED,1,9,0,9,3,0,3,0,3,1
coder,coder,13749,https://github.com/coder/coder/pull/13749,MERGED,8,417,296,713,6,0,1049,1892,2941,4
coder,coder,14786,https://github.com/coder/coder/pull/14786,MERGED,6,29,48,77,1,0,42,4,46,1
coder,coder,14928,https://github.com/coder/coder/pull/14928,MERGED,23,1765,1636,3401,12,0,768,18,786,9
coder,coder,15101,https://github.com/coder/coder/pull/15101,MERGED,17,3608,2356,5964,113,0,0,0,0,0
coder,coder,15415,https://github.com/coder/coder/pull/15415,MERGED,1,0,0,0,0,0,9,0,9,2
coder,coder,16187,https://github.com/coder/coder/pull/16187,MERGED,3,13,13,26,0,0,39,64,103,9
coder,coder,16563,https://github.com/coder/coder/pull/16563,MERGED,10,157,60,217,21,0,0,0,0,0
coder,coder,17223,https://github.com/coder/coder/pull/17223,MERGED,1,1,1,2,0,0,27,27,54,9
coder,coder,17356,https://github.com/coder/coder/pull/17356,MERGED,3,2,2,4,0,0,5,5,10,4
coder,modules,311,https://github.com/coder/modules/pull/311,MERGED,1,4,4,8,1,0,1,1,2,1
coder,packages,163,https://github.com/coder/packages/pull/163,MERGED,3,4,4,8,0,0,18,14,32,1
coder,vscode-coder,421,https://github.com/coder/vscode-coder/pull/421,MERGED,2,2,2,4,1,0,42,1,43,2
commontoolsinc,labs,314,https://github.com/commontoolsinc/labs/pull/314,MERGED,23,1054,634,1688,29,0,0,0,0,0
commontoolsinc,labs,498,https://github.com/commontoolsinc/labs/pull/498,MERGED,1,2,2,4,0,0,579,333,912,8
commontoolsinc,labs,931,https://github.com/commontoolsinc/labs/pull/931,MERGED,8,889,406,1295,4,4,0,0,0,0
compiler-explorer,infra,1589,https://github.com/compiler-explorer/infra/pull/1589,MERGED,1,12,6,18,0,0,239,192,431,3
dbieber,GoNoteGo,53,https://github.com/dbieber/GoNoteGo/pull/53,MERGED,35,637,477,1114,0,0,44,1,45,1
dbieber,GoNoteGo,54,https://github.com/dbieber/GoNoteGo/pull/54,MERGED,1,24,0,24,0,0,9,3,12,1
dbieber,GoNoteGo,55,https://github.com/dbieber/GoNoteGo/pull/55,MERGED,1,1,2,3,0,0,15,11,26,2
dbieber,GoNoteGo,57,https://github.com/dbieber/GoNoteGo/pull/57,MERGED,4,5,3,8,1,0,15,0,15,1
dbieber,GoNoteGo,58,https://github.com/dbieber/GoNoteGo/pull/58,MERGED,1,2,0,2,0,0,4,2,6,2
dbieber,GoNoteGo,60,https://github.com/dbieber/GoNoteGo/pull/60,MERGED,9,43,41,84,8,0,0,198,198,5
dbieber,GoNoteGo,61,https://github.com/dbieber/GoNoteGo/pull/61,MERGED,2,17,7,24,1,0,134,5,139,5
dbieber,GoNoteGo,62,https://github.com/dbieber/GoNoteGo/pull/62,MERGED,5,14,11,25,3,0,19,0,19,1
dbieber,GoNoteGo,64,https://github.com/dbieber/GoNoteGo/pull/64,MERGED,1,0,1,1,1,0,9,9,18,2
dbieber,GoNoteGo,69,https://github.com/dbieber/GoNoteGo/pull/69,MERGED,31,113,61,174,2,4,6266,134,6400,28
defog-ai,defog-python,54,https://github.com/defog-ai/defog-python/pull/54,MERGED,3,81,75,156,1,0,130,0,130,1
defog-ai,introspect,64,https://github.com/defog-ai/introspect/pull/64,MERGED,12,99,222,321,19,0,2,823,825,9
defog-ai,introspect,472,https://github.com/defog-ai/introspect/pull/472,MERGED,1,4,1,5,1,0,12,10,22,2
devondragon,SpringUserFramework,168,https://github.com/devondragon/SpringUserFramework/pull/168,MERGED,2,2,3,5,0,0,359,46,405,4
douvy,btc-tooling,23,https://github.com/douvy/btc-tooling/pull/23,MERGED,1,203,13,216,2,1,622,872,1494,3
dxos,dxos,6916,https://github.com/dxos/dxos/pull/6916,MERGED,1,1,0,1,0,0,17,2,19,1
expectedparrot,edsl,479,https://github.com/expectedparrot/edsl/pull/479,MERGED,8,133,83,216,12,0,97,41,138,3
expectedparrot,edsl,484,https://github.com/expectedparrot/edsl/pull/484,MERGED,1,1,1,2,0,0,172,105,277,4
expectedparrot,edsl,520,https://github.com/expectedparrot/edsl/pull/520,MERGED,3,485,417,902,2,0,614,118,732,11
expectedparrot,edsl,615,https://github.com/expectedparrot/edsl/pull/615,MERGED,1,7,4,11,0,0,18888,5525,24413,8
expectedparrot,edsl,1772,https://github.com/expectedparrot/edsl/pull/1772,MERGED,12,2888,984,3872,12,9,260,66,326,7
fossas,fossa-cli,1424,https://github.com/fossas/fossa-cli/pull/1424,MERGED,4,5,6,11,1,0,143,23,166,5
giselles-ai,giselle,28,https://github.com/giselles-ai/giselle/pull/28,MERGED,1,1,0,1,0,0,60,17,77,6
