Repository,Author,Unique_PR_Count
567-labs/instructor,jxnl,10
84codes/crystal-packages,carlhoerberg,3
ApeWorX/ape,banteg,4
Automattic/studio,mcsf,1
C-Loftus/talon-ai-tools,wolfmanstout,1
Cheffromspace/MCPControl,Cheffromspace,22
Cheffromspace/MCPControl,MCPClaude,3
ComposioHQ/composio,alt-glitch,1
CycloneDX/cyclonedx-node-npm,ericfitz,1
E3SM-Project/e3sm_diags,chengzhuzhang,1
Erlemar/pytorch_tempest,Erlemar,1
Flux159/mcp-server-kubernetes,rhys-041,1
INCATools/ontology-access-kit,cmungall,2
JoshuaC215/agent-service-toolkit,JoshuaC215,1
JulianBMunoz/Zeus21,smsharma,1
MH4GF/github-nippou-web,MH4GF,2
MaiM-with-u/MaiBot,BBleae,3
Mastercard/terraform-provider-restapi,jplana,1
MinBZK/poc-machine-law,anneschuth,7
Nayshins/ummon,Nayshins,10
OpenAdaptAI/OpenAdapt,abrichr,1
OpenPipe/ART,corbt,2
PipedreamHQ/pipedream,dannyroosevelt,6
PolicyEngine/policyengine-api,nikhilwoodruff,1
PolicyEngine/policyengine-app,MaxGhenis,1
R-Sandor/FindFirst,shayesdevel,1
SakanaAI/AI-Scientist,romgenie,2
Shopify/app_profiler,rwstauner,1
Snowflake-Labs/sansshell,gaziz,1
SoftFever/OrcaSlicer,kennethjiang,1
SouthBridgeAI/offmute,siomochkin,1
SpinaCMS/Spina,Bramjetten,1
Tiberriver256/mcp-server-azure-devops,ap9035,2
Wan-Video/Wan2.1,g7adrian,1
agorapulse/remember,DKarim,1
airbytehq/airbyte,burakku,1
aklinker1/bunv,aklinker1,9
aleph-im/aleph-vm,nesitor,2
aleph-im/pyaleph,nesitor,1
alexei-led/aws-mcp-server,alexei-led,3
alexei-led/k8s-mcp-server,alexei-led,1
alexfedosov/move-tool,alexfedosov,1
allenai/open-instruct,hamishivi,1
amaranth-lang/amaranth,robtaylor,1
anthropics/anthropic-cookbook,cal-anthropic,2
